"Time (ms)","Recording (a.u.)"
0.000000000E0,4.447775427E-4
2.267659592E-2,1.267207414E-2
4.535319185E-2,2.679225057E-2
6.802978777E-2,4.185392708E-2
9.070638369E-2,5.556801707E-2
1.133829796E-1,6.833299249E-2
1.360595755E-1,8.238349855E-2
1.587361715E-1,9.726572782E-2
1.814127674E-1,1.127350032E-1
2.040893633E-1,1.297011971E-1
2.267659592E-1,1.473994255E-1
2.494425552E-1,1.636490077E-1
2.721191511E-1,1.775029302E-1
2.947957470E-1,1.919539273E-1
3.174723429E-1,2.087010443E-1
3.401489389E-1,2.249286771E-1
3.628255348E-1,2.393099815E-1
3.855021307E-1,2.549678981E-1
4.081787266E-1,2.730327249E-1
4.308553225E-1,2.897173762E-1
4.535319185E-1,3.048812747E-1
4.762085144E-1,3.231208324E-1
4.988851103E-1,3.428911269E-1
5.215617062E-1,3.563906550E-1
5.442383022E-1,3.625543714E-1
5.669148981E-1,3.663856983E-1
5.895914940E-1,3.711997867E-1
6.122680899E-1,3.744429946E-1
6.349446859E-1,3.729380369E-1
6.576212818E-1,3.719877601E-1
6.802978777E-1,3.749121130E-1
7.029744736E-1,3.761354685E-1
7.256510695E-1,3.730806410E-1
7.483276655E-1,3.705962896E-1
7.710042614E-1,3.696187139E-1
7.936808573E-1,3.659160137E-1
8.163574532E-1,3.601468205E-1
8.390340492E-1,3.569850326E-1
8.617106451E-1,3.569020331E-1
8.843872410E-1,3.553683460E-1
9.070638369E-1,3.487489223E-1
9.297404329E-1,3.390749097E-1
9.524170288E-1,3.311840892E-1
9.750936247E-1,3.226954341E-1
9.977702206E-1,3.083375692E-1
1.020446817E0,2.926350236E-1
1.043123412E0,2.805567384E-1
1.065800008E0,2.690691352E-1
1.088476604E0,2.556484044E-1
1.111153200E0,2.411116064E-1
1.133829796E0,2.271362245E-1
1.156506392E0,2.131970823E-1
1.179182988E0,1.983683407E-1
1.201859584E0,1.835271716E-1
1.224536180E0,1.698768735E-1
1.247212776E0,1.574245393E-1
1.269889372E0,1.440435648E-1
1.292565968E0,1.299098730E-1
1.315242564E0,1.165361404E-1
1.337919159E0,1.026894599E-1
1.360595755E0,8.713109791E-2
1.383272351E0,7.114494592E-2
1.405948947E0,5.618470907E-2
1.428625543E0,4.169949144E-2
1.451302139E0,2.657952160E-2
1.473978735E0,1.135447528E-2
1.496655331E0,-2.981909784E-3
1.519331927E0,-1.686828397E-2
1.542008523E0,-3.125179186E-2
1.564685119E0,-4.574940354E-2
1.587361715E0,-5.972933024E-2
