"Time (ms)","Recording (a.u.)"
4.104463862E0,-4.187910259E-2
4.127140458E0,-5.632929504E-2
4.149817054E0,-6.660817564E-2
4.172493650E0,-8.171935380E-2
4.195170246E0,-1.039946824E-1
4.217846842E0,-1.264944822E-1
4.240523438E0,-1.479786634E-1
4.263200034E0,-1.709836721E-1
4.285876630E0,-1.945366859E-1
4.308553225E0,-2.174366713E-1
4.331229821E0,-2.413090169E-1
4.353906417E0,-2.647632360E-1
4.376583013E0,-2.858858407E-1
4.399259609E0,-3.056409657E-1
4.421936205E0,-3.260701299E-1
4.444612801E0,-3.494942188E-1
4.467289397E0,-3.713421226E-1
4.489965993E0,-3.864492178E-1
4.512642589E0,-3.982375264E-1
4.535319185E0,-4.107164145E-1
4.557995781E0,-4.231948853E-1
4.580672377E0,-4.338337779E-1
4.603348972E0,-4.409296513E-1
4.626025568E0,-4.453752935E-1
4.648702164E0,-4.512434006E-1
4.671378760E0,-4.593481421E-1
4.694055356E0,-4.649917483E-1
4.716731952E0,-4.644482434E-1
4.739408548E0,-4.612009227E-1
4.762085144E0,-4.575710297E-1
4.784761740E0,-4.488767087E-1
4.807438336E0,-4.340348840E-1
4.830114932E0,-4.160179198E-1
4.852791528E0,-3.950669765E-1
4.875468124E0,-3.728534579E-1
4.898144719E0,-3.507048488E-1
4.920821315E0,-3.274129629E-1
4.943497911E0,-3.034280241E-1
4.966174507E0,-2.778326869E-1
4.988851103E0,-2.508870661E-1
5.011527699E0,-2.232651412E-1
5.034204295E0,-1.920603067E-1
5.056880891E0,-1.582383960E-1
5.079557487E0,-1.222949624E-1
5.102234083E0,-8.143830299E-2
5.124910679E0,-4.206135124E-2
5.147587275E0,-1.043241192E-2
5.170263871E0,1.711466536E-2
5.192940466E0,4.169926420E-2
5.215617062E0,6.446826458E-2
5.238293658E0,8.677102625E-2
5.260970254E0,1.065462902E-1
5.283646850E0,1.262875944E-1
5.306323446E0,1.465044022E-1
5.329000042E0,1.636038721E-1
5.351676638E0,1.773505509E-1
5.374353234E0,1.895175576E-1
5.397029830E0,2.000879198E-1
5.419706426E0,2.085518837E-1
5.442383022E0,2.182362825E-1
5.465059618E0,2.310133576E-1
5.487736213E0,2.434863895E-1
5.510412809E0,2.551348805E-1
5.533089405E0,2.670943737E-1
5.555766001E0,2.783950567E-1
5.578442597E0,2.913066745E-1
5.601119193E0,3.078167439E-1
5.623795789E0,3.222231865E-1
5.646472385E0,3.293876052E-1
5.669148981E0,3.340667486E-1
5.691825577E0,3.382895291E-1
5.714502173E0,3.376323283E-1
5.737178769E0,3.320859075E-1
5.759855365E0,3.240497112E-1
5.782531960E0,3.150324821E-1
5.805208556E0,3.055656552E-1
5.827885152E0,2.960874438E-1
5.850561748E0,2.879477739E-1
5.873238344E0,2.804125845E-1
5.895914940E0,2.697355151E-1
5.918591536E0,2.542999387E-1
5.941268132E0,2.390873730E-1
5.963944728E0,2.288423777E-1
5.986621324E0,2.200044096E-1
6.009297920E0,2.091178000E-1
6.031974516E0,1.997754574E-1
6.054651112E0,1.943884045E-1
6.077327707E0,1.894817650E-1
6.100004303E0,1.822273731E-1
6.122680899E0,1.733520925E-1
6.145357495E0,1.653352678E-1
6.168034091E0,1.606372893E-1
6.190710687E0,1.580009013E-1
6.213387283E0,1.553525627E-1
6.236063879E0,1.511456817E-1
6.258740475E0,1.445359588E-1
6.281417071E0,1.372237951E-1
6.304093667E0,1.297762096E-1
6.326770263E0,1.205890477E-1
6.349446859E0,1.101653874E-1
6.372123454E0,1.014010906E-1
6.394800050E0,9.474894404E-2
6.417476646E0,8.942194283E-2
6.440153242E0,8.255789429E-2
6.462829838E0,7.174467295E-2
6.485506434E0,5.892635137E-2
6.508183030E0,4.659283906E-2
6.530859626E0,4.003383964E-2
6.553536222E0,3.436089307E-2
6.576212818E0,1.968308911E-2
6.598889414E0,7.029792760E-3
6.621566010E0,3.062489908E-3
6.644242606E0,-5.681982730E-3
6.666919201E0,-2.349394187E-2
6.689595797E0,-3.961129487E-2
6.712272393E0,-5.101802945E-2
6.734948989E0,-6.703990698E-2
6.757625585E0,-8.887860179E-2
6.780302181E0,-1.093847752E-1
6.802978777E0,-1.284278929E-1
6.825655373E0,-1.505396962E-1
6.848331969E0,-1.742768288E-1
6.871008565E0,-1.932035238E-1
6.893685161E0,-2.108757794E-1
6.916361757E0,-2.376289219E-1
6.939038353E0,-2.663663328E-1
6.961714948E0,-2.863769829E-1
6.984391544E0,-3.061507344E-1
7.007068140E0,-3.315023184E-1
7.029744736E0,-3.559597433E-1
7.052421332E0,-3.750271201E-1
7.075097928E0,-3.901979327E-1
7.097774524E0,-4.042616189E-1
7.120451120E0,-4.172238111E-1
7.143127716E0,-4.299628735E-1
7.165804312E0,-4.426258206E-1
7.188480908E0,-4.492468238E-1
7.211157504E0,-4.483547509E-1
7.233834100E0,-4.488542676E-1
7.256510695E0,-4.523656368E-1
7.279187291E0,-4.533075690E-1
7.301863887E0,-4.510271549E-1
7.324540483E0,-4.462973475E-1
7.347217079E0,-4.396283031E-1
7.369893675E0,-4.330983162E-1
7.392570271E0,-4.272870421E-1
7.415246867E0,-4.168527722E-1
7.437923463E0,-4.003601074E-1
7.460600059E0,-3.823361397E-1
7.483276655E0,-3.634259105E-1
7.505953251E0,-3.419939578E-1
7.528629847E0,-3.161221147E-1
7.551306442E0,-2.864041030E-1
7.573983038E0,-2.563680410E-1
7.596659634E0,-2.270993590E-1
7.619336230E0,-1.969390512E-1
7.642012826E0,-1.647092253E-1
7.664689422E0,-1.302423030E-1
7.687366018E0,-9.489321709E-2
7.710042614E0,-5.996859074E-2
7.732719210E0,-2.332717739E-2
7.755395806E0,1.376837119E-2
7.778072402E0,4.533591121E-2
7.800748998E0,7.137538493E-2
7.823425594E0,9.278102219E-2
7.846102190E0,1.077535301E-1
7.868778785E0,1.185362488E-1
7.891455381E0,1.277766377E-1
7.914131977E0,1.373923123E-1
7.936808573E0,1.501207352E-1
7.959485169E0,1.656882465E-1
7.982161765E0,1.828842461E-1
8.004838361E0,2.033275366E-1
8.027514957E0,2.245932966E-1
8.050191553E0,2.462009192E-1
8.072868149E0,2.708532810E-1
8.095544745E0,2.929702699E-1
8.118221341E0,3.084657490E-1
8.140897937E0,3.168127537E-1
8.163574532E0,3.197584748E-1
8.186251128E0,3.221277595E-1
8.208927724E0,3.229486346E-1
8.231604320E0,3.225390911E-1
8.254280916E0,3.264187574E-1
8.276957512E0,3.322267830E-1
8.299634108E0,3.343642950E-1
8.322310704E0,3.336651921E-1
8.344987300E0,3.303965032E-1
8.367663896E0,3.240649104E-1
8.390340492E0,3.153855205E-1
8.413017088E0,3.054707646E-1
8.435693684E0,2.951356471E-1
8.458370279E0,2.823253870E-1
8.481046875E0,2.675008774E-1
8.503723471E0,2.542744279E-1
8.526400067E0,2.423641682E-1
8.549076663E0,2.293746769E-1
8.571753259E0,2.148672044E-1
8.594429855E0,2.008692622E-1
8.617106451E0,1.900074780E-1
8.639783047E0,1.821074635E-1
8.662459643E0,1.741838753E-1
8.685136239E0,1.660705358E-1
8.707812835E0,1.621073484E-1
8.730489431E0,1.617191583E-1
8.753166026E0,1.605296433E-1
8.775842622E0,1.575596631E-1
8.798519218E0,1.529931277E-1
8.821195814E0,1.478179991E-1
8.843872410E0,1.430655420E-1
8.866549006E0,1.356434673E-1
8.889225602E0,1.248646677E-1
8.911902198E0,1.162639707E-1
8.934578794E0,1.092130095E-1
8.957255390E0,9.886340797E-2
8.979931986E0,8.711086214E-2
9.002608582E0,7.859370112E-2
9.025285178E0,7.333812118E-2
9.047961773E0,6.955008209E-2
9.070638369E0,6.579284370E-2
9.093314965E0,5.830057710E-2
9.115991561E0,4.891622066E-2
9.138668157E0,4.266745970E-2
9.161344753E0,3.544684127E-2
9.184021349E0,2.275810391E-2
9.206697945E0,7.254773285E-3
9.229374541E0,-7.458145730E-3
9.252051137E0,-1.940907538E-2
9.274727733E0,-3.023331799E-2
9.297404329E0,-4.509424418E-2
9.320080925E0,-6.500007212E-2
9.342757520E0,-8.578452468E-2
9.365434116E0,-1.054220125E-1
9.388110712E0,-1.235794872E-1
9.410787308E0,-1.415332556E-1
9.433463904E0,-1.632942259E-1
9.456140500E0,-1.877688169E-1
9.478817096E0,-2.091611028E-1
9.501493692E0,-2.298112363E-1
9.524170288E0,-2.542194128E-1
9.546846884E0,-2.788550258E-1
9.569523480E0,-3.018277884E-1
9.592200076E0,-3.234927058E-1
9.614876672E0,-3.439269066E-1
9.637553267E0,-3.634238243E-1
9.660229863E0,-3.801229000E-1
9.682906459E0,-3.942744434E-1
9.705583055E0,-4.078784585E-1
9.728259651E0,-4.192168713E-1
9.750936247E0,-4.285461307E-1
9.773612843E0,-4.396559596E-1
9.796289439E0,-4.504483044E-1
9.818966035E0,-4.564130306E-1
9.841642631E0,-4.577384591E-1
9.864319227E0,-4.575560093E-1
9.886995823E0,-4.555061460E-1
9.909672419E0,-4.502983093E-1
9.932349014E0,-4.427634478E-1
9.955025610E0,-4.328365922E-1
9.977702206E0,-4.211164117E-1
