"Time (ms)","Recording (a.u.)"
3.750142051E0,8.033941686E-2
3.770976173E0,7.331597060E-2
3.791810296E0,6.651509553E-2
3.812644418E0,5.934793502E-2
3.833478541E0,5.179934204E-2
3.854312663E0,4.483793676E-2
3.875146786E0,3.939499706E-2
3.895980908E0,3.459075838E-2
3.916815031E0,2.932758071E-2
3.937649153E0,2.303280309E-2
3.958483276E0,1.521341875E-2
3.979317398E0,5.910302047E-3
4.000151521E0,-4.619660322E-3
4.020985643E0,-1.540439669E-2
4.041819766E0,-2.578713745E-2
4.062653888E0,-3.662224859E-2
4.083488011E0,-4.888516665E-2
4.104322133E0,-6.234097853E-2
4.125156256E0,-7.565660775E-2
4.145990378E0,-8.874779195E-2
4.166824501E0,-1.021788567E-1
4.187658623E0,-1.156609058E-1
4.208492746E0,-1.292174011E-1
4.229326868E0,-1.424191296E-1
4.250160991E0,-1.550984681E-1
4.270995113E0,-1.676230729E-1
4.291829236E0,-1.794116199E-1
4.312663358E0,-1.903963834E-1
4.333497481E0,-2.017553002E-1
4.354331603E0,-2.143062502E-1
4.375165726E0,-2.268461585E-1
4.395999848E0,-2.380003035E-1
4.416833971E0,-2.482990175E-1
4.437668093E0,-2.581247091E-1
4.458502216E0,-2.675115466E-1
4.479336338E0,-2.763997912E-1
4.500170461E0,-2.842629254E-1
4.521004584E0,-2.916338444E-1
4.541838706E0,-2.985135615E-1
4.562672829E0,-3.034321070E-1
4.583506951E0,-3.068916202E-1
4.604341074E0,-3.106982112E-1
4.625175196E0,-3.141317666E-1
4.646009319E0,-3.153705001E-1
4.666843441E0,-3.146656752E-1
4.687677564E0,-3.134660721E-1
4.708511686E0,-3.122685552E-1
4.729345809E0,-3.104742169E-1
4.750179931E0,-3.078897595E-1
4.771014054E0,-3.048750162E-1
4.791848176E0,-3.012983799E-1
4.812682299E0,-2.972519696E-1
4.833516421E0,-2.928487957E-1
4.854350544E0,-2.875869274E-1
4.875184666E0,-2.817359567E-1
4.896018789E0,-2.753233314E-1
4.916852911E0,-2.673262954E-1
4.937687034E0,-2.581905127E-1
4.958521156E0,-2.492090911E-1
4.979355279E0,-2.402449846E-1
5.000189401E0,-2.307382822E-1
5.021023524E0,-2.203866988E-1
5.041857646E0,-2.085096836E-1
5.062691769E0,-1.949828267E-1
5.083525891E0,-1.801125556E-1
5.104360014E0,-1.629810333E-1
5.125194136E0,-1.434031725E-1
5.146028259E0,-1.232952774E-1
5.166862381E0,-1.030434817E-1
5.187696504E0,-8.127781004E-2
5.208530626E0,-5.864759162E-2
5.229364749E0,-3.683593124E-2
5.250198871E0,-1.546927821E-2
5.271032994E0,6.461087149E-3
5.291867116E0,2.842168882E-2
5.312701239E0,4.926379025E-2
5.333535361E0,6.867673993E-2
5.354369484E0,8.745995909E-2
5.375203606E0,1.054555029E-1
5.396037729E0,1.209082752E-1
5.416871851E0,1.336816400E-1
5.437705974E0,1.452871561E-1
5.458540096E0,1.569990814E-1
5.479374219E0,1.691162288E-1
5.500208341E0,1.809500456E-1
5.521042464E0,1.927984506E-1
5.541876586E0,2.051233053E-1
5.562710709E0,2.179188579E-1
5.583544831E0,2.313077450E-1
5.604378954E0,2.448197901E-1
5.625213076E0,2.587938309E-1
5.646047199E0,2.724543810E-1
5.666881321E0,2.836668491E-1
5.687715444E0,2.930741012E-1
5.708549566E0,3.024233580E-1
5.729383689E0,3.119461238E-1
5.750217811E0,3.201977611E-1
5.771051934E0,3.255756795E-1
5.791886056E0,3.282675147E-1
5.812720179E0,3.291061223E-1
5.833554301E0,3.288140893E-1
5.854388424E0,3.281821609E-1
5.875222546E0,3.277901411E-1
5.896056669E0,3.270294070E-1
5.916890791E0,3.245350122E-1
5.937724914E0,3.200463951E-1
5.958559036E0,3.137655258E-1
5.979393159E0,3.062216043E-1
6.000227281E0,2.977896035E-1
6.021061404E0,2.876470685E-1
6.041895526E0,2.757385969E-1
6.062729649E0,2.631132007E-1
6.083563771E0,2.501262128E-1
6.104397894E0,2.363943756E-1
6.125232016E0,2.225679755E-1
6.146066139E0,2.096857429E-1
6.166900261E0,1.970579326E-1
6.187734384E0,1.846678257E-1
6.208568506E0,1.734136641E-1
6.229402629E0,1.623624116E-1
6.250236751E0,1.503847688E-1
6.271070874E0,1.378902495E-1
6.291904996E0,1.260470748E-1
6.312739119E0,1.154889092E-1
6.333573241E0,1.064237803E-1
6.354407364E0,9.833826125E-2
6.375241486E0,8.964741230E-2
6.396075609E0,8.057619631E-2
6.416909731E0,7.232843339E-2
6.437743854E0,6.511077285E-2
6.458577976E0,5.906392634E-2
6.479412099E0,5.319337174E-2
6.500246221E0,4.664474353E-2
6.521080344E0,3.992602602E-2
6.541914466E0,3.363248333E-2
6.562748589E0,2.821861580E-2
6.583582711E0,2.292661369E-2
6.604416834E0,1.602749154E-2
6.625250956E0,6.755631417E-3
6.646085079E0,-3.887710162E-3
6.666919201E0,-1.522665285E-2
6.687753324E0,-2.808304131E-2
6.708587446E0,-4.158255085E-2
6.729421569E0,-5.417444557E-2
6.750255692E0,-6.681820750E-2
6.771089814E0,-8.053849638E-2
6.791923937E0,-9.431679547E-2
6.812758059E0,-1.065147072E-1
6.833592182E0,-1.171209663E-1
6.854426304E0,-1.279758513E-1
6.875260427E0,-1.405339688E-1
6.896094549E0,-1.542699635E-1
6.916928672E0,-1.673157960E-1
6.937762794E0,-1.795521975E-1
6.958596917E0,-1.928377748E-1
6.979431039E0,-2.070661783E-1
7.000265162E0,-2.202937752E-1
7.021099284E0,-2.316255569E-1
7.041933407E0,-2.421975136E-1
7.062767529E0,-2.534216046E-1
7.083601652E0,-2.639973462E-1
7.104435774E0,-2.724760175E-1
7.125269897E0,-2.801767290E-1
