"Time (ms)","Recording (a.u.)"
0.000000000E0,7.718955632E-3
2.083412250E-2,2.605205029E-2
4.166824501E-2,4.304680228E-2
6.250236751E-2,5.880874395E-2
8.333649002E-2,7.425398380E-2
1.041706125E-1,8.913519979E-2
1.250047350E-1,1.027842537E-1
1.458388575E-1,1.164543629E-1
1.666729800E-1,1.316381395E-1
1.875071025E-1,1.474521309E-1
2.083412250E-1,1.619785577E-1
2.291753476E-1,1.757338047E-1
2.500094701E-1,1.909214258E-1
2.708435926E-1,2.084646076E-1
2.916777151E-1,2.282298803E-1
3.125118376E-1,2.491352707E-1
3.333459601E-1,2.707114816E-1
3.541800826E-1,2.930469513E-1
3.750142051E-1,3.142096698E-1
3.958483276E-1,3.327060938E-1
4.166824501E-1,3.488877416E-1
4.375165726E-1,3.630674481E-1
4.583506951E-1,3.754346371E-1
4.791848176E-1,3.857043684E-1
5.000189401E-1,3.938500583E-1
5.208530626E-1,4.026780725E-1
5.416871851E-1,4.139527380E-1
5.625213076E-1,4.251065254E-1
5.833554301E-1,4.340533614E-1
6.041895526E-1,4.389986396E-1
6.250236751E-1,4.394755065E-1
6.458577976E-1,4.374652803E-1
6.666919201E-1,4.315195680E-1
6.875260427E-1,4.208959043E-1
7.083601652E-1,4.083877504E-1
7.291942877E-1,3.948541880E-1
7.500284102E-1,3.796493709E-1
7.708625327E-1,3.622633219E-1
7.916966552E-1,3.437187672E-1
8.125307777E-1,3.265050650E-1
8.333649002E-1,3.109091520E-1
8.541990227E-1,2.948807776E-1
8.750331452E-1,2.782585025E-1
8.958672677E-1,2.633100152E-1
9.167013902E-1,2.515880167E-1
9.375355127E-1,2.426393032E-1
9.583696352E-1,2.338749170E-1
9.792037577E-1,2.235878855E-1
1.000037880E0,2.129555047E-1
1.020872003E0,2.031787932E-1
1.041706125E0,1.936105937E-1
1.062540248E0,1.826092303E-1
1.083374370E0,1.704472303E-1
1.104208493E0,1.590230167E-1
1.125042615E0,1.491485834E-1
1.145876738E0,1.405659467E-1
1.166710860E0,1.319452226E-1
1.187544983E0,1.227269694E-1
1.208379105E0,1.142011136E-1
1.229213228E0,1.062229723E-1
1.250047350E0,9.769159555E-2
1.270881473E0,8.857033402E-2
1.291715595E0,7.890210301E-2
1.312549718E0,6.927797198E-2
1.333383840E0,5.917022005E-2
1.354217963E0,4.656043649E-2
1.375052085E0,3.144876286E-2
1.395886208E0,1.518680528E-2
1.416720330E0,-8.120591519E-4
1.437554453E0,-1.619548351E-2
1.458388575E0,-3.145059198E-2
1.479222698E0,-4.673299193E-2
1.500056820E0,-6.394882500E-2
1.520890943E0,-8.347227424E-2
1.541725065E0,-1.029872298E-1
1.562559188E0,-1.222397387E-1
1.583393310E0,-1.421155930E-1
1.604227433E0,-1.628964245E-1
1.625061555E0,-1.839765012E-1
1.645895678E0,-2.051611543E-1
1.666729800E0,-2.273343652E-1
1.687563923E0,-2.490004897E-1
1.708398045E0,-2.681105733E-1
1.729232168E0,-2.854518294E-1
1.750066290E0,-3.018494248E-1
1.770900413E0,-3.168391883E-1
1.791734535E0,-3.297917843E-1
1.812568658E0,-3.400058746E-1
1.833402780E0,-3.479083180E-1
1.854236903E0,-3.550284505E-1
1.875071025E0,-3.611230850E-1
1.895905148E0,-3.651056886E-1
1.916739270E0,-3.686798811E-1
1.937573393E0,-3.734057546E-1
1.958407515E0,-3.774414957E-1
1.979241638E0,-3.799105287E-1
2.000075760E0,-3.823415041E-1
2.020909883E0,-3.847885132E-1
2.041744005E0,-3.863240182E-1
2.062578128E0,-3.873701692E-1
2.083412250E0,-3.874955177E-1
2.104246373E0,-3.851268888E-1
2.125080495E0,-3.813905716E-1
2.145914618E0,-3.783063889E-1
2.166748740E0,-3.754332364E-1
2.187582863E0,-3.716694713E-1
2.208416985E0,-3.670090437E-1
2.229251108E0,-3.621365428E-1
2.250085231E0,-3.564647436E-1
2.270919353E0,-3.483768106E-1
2.291753476E0,-3.374544680E-1
2.312587598E0,-3.250534534E-1
2.333421721E0,-3.113921583E-1
2.354255843E0,-2.940029502E-1
2.375089966E0,-2.744820118E-1
2.395924088E0,-2.567609549E-1
2.416758211E0,-2.391943634E-1
2.437592333E0,-2.193517685E-1
2.458426456E0,-1.972538382E-1
2.479260578E0,-1.748186052E-1
2.500094701E0,-1.539402753E-1
2.520928823E0,-1.313700080E-1
2.541762946E0,-1.050372198E-1
2.562597068E0,-7.939180732E-2
2.583431191E0,-5.760258436E-2
2.604265313E0,-3.742250800E-2
2.625099436E0,-1.632283255E-2
2.645933558E0,3.820267273E-3
2.666767681E0,1.978820935E-2
2.687601803E0,3.297717124E-2
2.708435926E0,4.775891453E-2
2.729270048E0,6.446510553E-2
2.750104171E0,8.025830984E-2
2.770938293E0,9.500549734E-2
2.791772416E0,1.109932512E-1
2.812606538E0,1.291460991E-1
2.833440661E0,1.468049288E-1
2.854274783E0,1.618441343E-1
2.875108906E0,1.762759387E-1
2.895943028E0,1.921384931E-1
2.916777151E0,2.087778449E-1
2.937611273E0,2.244517654E-1
2.958445396E0,2.395527959E-1
2.979279518E0,2.566334307E-1
3.000113641E0,2.772493362E-1
3.020947763E0,2.994855642E-1
3.041781886E0,3.197059035E-1
3.062616008E0,3.387904167E-1
3.083450131E0,3.586147428E-1
3.104284253E0,3.774381876E-1
3.125118376E0,3.927221298E-1
3.145952498E0,4.025540352E-1
3.166786621E0,4.101694822E-1
3.187620743E0,4.188119471E-1
3.208454866E0,4.263103008E-1
3.229288988E0,4.319583178E-1
3.250123111E0,4.344824255E-1
3.270957233E0,4.330377281E-1
3.291791356E0,4.298133254E-1
3.312625478E0,4.243896902E-1
3.333459601E0,4.160931706E-1
3.354293723E0,4.051029980E-1
3.375127846E0,3.913642168E-1
3.395961968E0,3.757916093E-1
3.416796091E0,3.587471247E-1
3.437630213E0,3.413807750E-1
3.458464336E0,3.241394758E-1
3.479298458E0,3.052681386E-1
3.500132581E0,2.860490680E-1
3.520966703E0,2.699283957E-1
3.541800826E0,2.563865185E-1
3.562634948E0,2.432671189E-1
3.583469071E0,2.314231694E-1
3.604303193E0,2.226045579E-1
3.625137316E0,2.159782946E-1
3.645971438E0,2.079191506E-1
3.666805561E0,1.977667212E-1
3.687639683E0,1.886723042E-1
3.708473806E0,1.805897057E-1
3.729307928E0,1.723162532E-1
3.750142051E0,1.632655412E-1
3.770976173E0,1.522593647E-1
3.791810296E0,1.415740550E-1
3.812644418E0,1.325845420E-1
3.833478541E0,1.226010397E-1
3.854312663E0,1.115434989E-1
3.875146786E0,1.018895358E-1
3.895980908E0,9.401351213E-2
3.916815031E0,8.606126904E-2
3.937649153E0,7.660263777E-2
3.958483276E0,6.574021280E-2
3.979317398E0,5.419342220E-2
4.000151521E0,4.300297797E-2
4.020985643E0,3.151943907E-2
4.041819766E0,1.745474711E-2
4.062653888E0,1.543577062E-3
4.083488011E0,-1.437274739E-2
4.104322133E0,-3.144108877E-2
4.125156256E0,-5.043733865E-2
4.145990378E0,-7.038716972E-2
4.166824501E0,-9.023327380E-2
4.187658623E0,-1.090857089E-1
4.208492746E0,-1.269283593E-1
4.229326868E0,-1.445906609E-1
4.250160991E0,-1.633292139E-1
4.270995113E0,-1.829356402E-1
4.291829236E0,-2.018101215E-1
4.312663358E0,-2.203202695E-1
4.333497481E0,-2.383259982E-1
4.354331603E0,-2.542587817E-1
4.375165726E0,-2.703314424E-1
4.395999848E0,-2.885111570E-1
4.416833971E0,-3.052518368E-1
4.437668093E0,-3.184716105E-1
4.458502216E0,-3.301793635E-1
4.479336338E0,-3.407955468E-1
4.500170461E0,-3.498329520E-1
4.521004584E0,-3.584439158E-1
4.541838706E0,-3.661287427E-1
4.562672829E0,-3.710370958E-1
4.583506951E0,-3.747069240E-1
4.604341074E0,-3.781701624E-1
4.625175196E0,-3.799129128E-1
4.646009319E0,-3.820778131E-1
4.666843441E0,-3.859537840E-1
4.687677564E0,-3.879845142E-1
4.708511686E0,-3.870748281E-1
4.729345809E0,-3.861453235E-1
4.750179931E0,-3.870388865E-1
4.771014054E0,-3.875610530E-1
4.791848176E0,-3.855984807E-1
4.812682299E0,-3.826640844E-1
4.833516421E0,-3.799574375E-1
4.854350544E0,-3.763283193E-1
4.875184666E0,-3.696804643E-1
4.896018789E0,-3.597817719E-1
4.916852911E0,-3.492253721E-1
4.937687034E0,-3.396005929E-1
4.958521156E0,-3.295133114E-1
4.979355279E0,-3.164120317E-1
5.000189401E0,-2.997323275E-1
5.021023524E0,-2.817531228E-1
5.041857646E0,-2.648289204E-1
5.062691769E0,-2.480573803E-1
5.083525891E0,-2.282202095E-1
5.104360014E0,-2.056132555E-1
5.125194136E0,-1.832465529E-1
5.146028259E0,-1.616447270E-1
5.166862381E0,-1.398596019E-1
5.187696504E0,-1.170917302E-1
5.208530626E0,-9.375867248E-2
5.229364749E0,-7.123586535E-2
5.250198871E0,-4.931752384E-2
5.271032994E0,-2.786229551E-2
5.291867116E0,-7.978162728E-3
5.312701239E0,9.588208981E-3
5.333535361E0,2.475876175E-2
5.354369484E0,3.901232034E-2
5.375203606E0,5.479136482E-2
5.396037729E0,7.208474725E-2
5.416871851E0,8.836062253E-2
5.437705974E0,1.032176837E-1
5.458540096E0,1.189776957E-1
5.479374219E0,1.365614831E-1
5.500208341E0,1.548001170E-1
5.521042464E0,1.725484133E-1
5.541876586E0,1.899724454E-1
5.562710709E0,2.077899277E-1
5.583544831E0,2.263262570E-1
5.604378954E0,2.452620417E-1
5.625213076E0,2.637922764E-1
5.646047199E0,2.819022536E-1
5.666881321E0,2.996629477E-1
5.687715444E0,3.170867562E-1
5.708549566E0,3.337578177E-1
5.729383689E0,3.487699330E-1
5.750217811E0,3.630530834E-1
5.771051934E0,3.768620789E-1
5.791886056E0,3.899622560E-1
5.812720179E0,4.018568695E-1
5.833554301E0,4.106059372E-1
5.854388424E0,4.182697535E-1
5.875222546E0,4.252507091E-1
5.896056669E0,4.273930192E-1
5.916890791E0,4.257006645E-1
5.937724914E0,4.230162501E-1
5.958559036E0,4.190991819E-1
5.979393159E0,4.128983617E-1
6.000227281E0,4.025532007E-1
6.021061404E0,3.872814178E-1
6.041895526E0,3.701650500E-1
6.062729649E0,3.544009328E-1
6.083563771E0,3.389083743E-1
6.104397894E0,3.226562738E-1
6.125232016E0,3.072342575E-1
6.146066139E0,2.942251563E-1
6.166900261E0,2.813656330E-1
6.187734384E0,2.647552490E-1
6.208568506E0,2.483200431E-1
6.229402629E0,2.369866669E-1
6.250236751E0,2.281467617E-1
6.271070874E0,2.178924382E-1
6.291904996E0,2.045966089E-1
6.312739119E0,1.921975613E-1
6.333573241E0,1.849040091E-1
6.354407364E0,1.787393987E-1
6.375241486E0,1.690862477E-1
6.396075609E0,1.575020850E-1
6.416909731E0,1.483178735E-1
6.437743854E0,1.418727487E-1
6.458577976E0,1.339690387E-1
6.479412099E0,1.229771078E-1
6.500246221E0,1.127443761E-1
6.521080344E0,1.054936647E-1
6.541914466E0,9.588554502E-2
6.562748589E0,8.158953488E-2
6.583582711E0,6.794942915E-2
6.604416834E0,5.692068487E-2
6.625250956E0,4.578780010E-2
6.646085079E0,3.226736933E-2
6.666919201E0,1.790548861E-2
6.687753324E0,5.479987245E-3
6.708587446E0,-6.555346772E-3
6.729421569E0,-2.041918971E-2
6.750255692E0,-3.686488420E-2
6.771089814E0,-5.453884229E-2
6.791923937E0,-7.043532282E-2
6.812758059E0,-8.587682247E-2
6.833592182E0,-1.035195589E-1
6.854426304E0,-1.217679232E-1
6.875260427E0,-1.390759647E-1
6.896094549E0,-1.574523747E-1
6.916928672E0,-1.778045148E-1
6.937762794E0,-1.977618486E-1
6.958596917E0,-2.162310779E-1
6.979431039E0,-2.335122228E-1
7.000265162E0,-2.496348917E-1
7.021099284E0,-2.650384307E-1
7.041933407E0,-2.797122598E-1
7.062767529E0,-2.933219075E-1
7.083601652E0,-3.063716888E-1
7.104435774E0,-3.202859461E-1
7.125269897E0,-3.341179490E-1
7.146104019E0,-3.447012007E-1
