"Time (ms)","Recording (a.u.)"
0.000000000E0,1.554024592E-2
2.267659592E-2,3.965737671E-2
4.535319185E-2,5.808275938E-2
6.802978777E-2,7.411576807E-2
9.070638369E-2,9.109023213E-2
1.133829796E-1,1.082168445E-1
1.360595755E-1,1.247899979E-1
1.587361715E-1,1.419704854E-1
1.814127674E-1,1.595708430E-1
2.040893633E-1,1.765192449E-1
2.267659592E-1,1.941485405E-1
2.494425552E-1,2.167051584E-1
2.721191511E-1,2.437758595E-1
2.947957470E-1,2.716637254E-1
3.174723429E-1,2.994539440E-1
3.401489389E-1,3.263409436E-1
3.628255348E-1,3.513209224E-1
3.855021307E-1,3.720254004E-1
4.081787266E-1,3.875037432E-1
4.308553225E-1,3.994289637E-1
4.535319185E-1,4.115915298E-1
4.762085144E-1,4.240694046E-1
4.988851103E-1,4.315913618E-1
5.215617062E-1,4.337974191E-1
5.442383022E-1,4.338554442E-1
5.669148981E-1,4.320092797E-1
5.895914940E-1,4.273157418E-1
6.122680899E-1,4.246118069E-1
6.349446859E-1,4.233180881E-1
6.576212818E-1,4.163586497E-1
6.802978777E-1,4.056693316E-1
7.029744736E-1,3.945410252E-1
7.256510695E-1,3.801449239E-1
7.483276655E-1,3.599017859E-1
7.710042614E-1,3.363752365E-1
7.936808573E-1,3.132987022E-1
8.163574532E-1,2.917339206E-1
8.390340492E-1,2.706748247E-1
8.617106451E-1,2.510716915E-1
8.843872410E-1,2.351885438E-1
9.070638369E-1,2.218929976E-1
9.297404329E-1,2.100518346E-1
9.524170288E-1,2.014119327E-1
9.750936247E-1,1.955832541E-1
9.977702206E-1,1.883515120E-1
1.020446817E0,1.787255406E-1
1.043123412E0,1.692247987E-1
1.065800008E0,1.603177041E-1
1.088476604E0,1.500475556E-1
1.111153200E0,1.385470182E-1
1.133829796E0,1.264343560E-1
1.156506392E0,1.130234301E-1
1.179182988E0,9.987114370E-2
1.201859584E0,8.778218925E-2
1.224536180E0,7.445893437E-2
1.247212776E0,5.882634223E-2
1.269889372E0,4.179638252E-2
1.292565968E0,2.380362526E-2
1.315242564E0,5.159064196E-3
1.337919159E0,-1.373135112E-2
1.360595755E0,-3.204465285E-2
1.383272351E0,-4.983620718E-2
1.405948947E0,-6.668713689E-2
1.428625543E0,-8.385589719E-2
1.451302139E0,-1.050287038E-1
1.473978735E0,-1.285352111E-1
1.496655331E0,-1.495430171E-1
1.519331927E0,-1.686851084E-1
1.542008523E0,-1.911037713E-1
1.564685119E0,-2.160573453E-1
1.587361715E0,-2.382236719E-1
1.610038311E0,-2.566495538E-1
1.632714906E0,-2.738611698E-1
1.655391502E0,-2.914102972E-1
1.678068098E0,-3.082838655E-1
1.700744694E0,-3.247620165E-1
1.723421290E0,-3.429779112E-1
1.746097886E0,-3.601735830E-1
1.768774482E0,-3.727390766E-1
1.791451078E0,-3.856484890E-1
1.814127674E0,-4.028962255E-1
1.836804270E0,-4.194523096E-1
1.859480866E0,-4.314354062E-1
1.882157462E0,-4.418904185E-1
1.904834058E0,-4.535650611E-1
1.927510653E0,-4.648504257E-1
1.950187249E0,-4.737295806E-1
1.972863845E0,-4.798201621E-1
1.995540441E0,-4.844211936E-1
2.018217037E0,-4.878940582E-1
2.040893633E0,-4.891343117E-1
2.063570229E0,-4.892600179E-1
2.086246825E0,-4.889066219E-1
2.108923421E0,-4.856285155E-1
2.131600017E0,-4.801680446E-1
2.154276613E0,-4.750498533E-1
2.176953209E0,-4.689161479E-1
2.199629805E0,-4.601503015E-1
2.222306400E0,-4.483954012E-1
2.244982996E0,-4.345918894E-1
