"Time (ms)","Recording (a.u.)"
4.081787266E0,-1.603398621E-1
4.104463862E0,-1.751274765E-1
4.127140458E0,-1.892053485E-1
4.149817054E0,-2.028247714E-1
4.172493650E0,-2.159270644E-1
4.195170246E0,-2.288914025E-1
4.217846842E0,-2.418695688E-1
4.240523438E0,-2.545092404E-1
4.263200034E0,-2.659911215E-1
4.285876630E0,-2.761610150E-1
4.308553225E0,-2.854986787E-1
4.331229821E0,-2.936868668E-1
4.353906417E0,-3.010054827E-1
4.376583013E0,-3.076306283E-1
4.399259609E0,-3.133389354E-1
4.421936205E0,-3.176645637E-1
4.444612801E0,-3.202916384E-1
4.467289397E0,-3.222151399E-1
4.489965993E0,-3.235764503E-1
4.512642589E0,-3.240787983E-1
4.535319185E0,-3.243160248E-1
4.557995781E0,-3.245152831E-1
4.580672377E0,-3.240323663E-1
4.603348972E0,-3.223067522E-1
4.626025568E0,-3.189936280E-1
4.648702164E0,-3.141234815E-1
4.671378760E0,-3.084374070E-1
4.694055356E0,-3.023576140E-1
4.716731952E0,-2.958553135E-1
4.739408548E0,-2.883812785E-1
4.762085144E0,-2.798756957E-1
4.784761740E0,-2.705273330E-1
4.807438336E0,-2.604064941E-1
4.830114932E0,-2.495584190E-1
4.852791528E0,-2.380575836E-1
4.875468124E0,-2.267017215E-1
4.898144719E0,-2.152319849E-1
4.920821315E0,-2.034000009E-1
4.943497911E0,-1.916676909E-1
4.966174507E0,-1.799946427E-1
4.988851103E0,-1.679975092E-1
5.011527699E0,-1.551245451E-1
5.034204295E0,-1.412684768E-1
5.056880891E0,-1.274979711E-1
5.079557487E0,-1.146950200E-1
5.102234083E0,-1.024402231E-1
5.124910679E0,-9.052512795E-2
5.147587275E0,-7.891444117E-2
5.170263871E0,-6.778781116E-2
5.192940466E0,-5.694691092E-2
5.215617062E0,-4.619166628E-2
5.238293658E0,-3.501216322E-2
5.260970254E0,-2.299993858E-2
5.283646850E0,-1.076190360E-2
5.306323446E0,1.888070721E-3
5.329000042E0,1.564938575E-2
5.351676638E0,3.045953438E-2
5.374353234E0,4.520292580E-2
