"Time (s)","Frequency (Hz)","Speed (m/s)"
8.123086230E-1,4.400143645E2,1.109948576E-2
8.623096647E-1,4.400305042E2,2.356978653E-2
9.123107064E-1,4.400527469E2,4.075410515E-2
9.623117481E-1,4.399321937E2,-5.240385543E-2
1.012312790E0,4.398377158E2,-1.254477182E-1
1.062313831E0,4.398858029E2,-8.826615951E-2
1.112314873E0,4.399314084E2,-5.301085752E-2
1.162315915E0,4.399035077E2,-7.457861204E-2
1.212316957E0,4.398845500E2,-8.923479348E-2
1.262317998E0,4.399598531E2,-3.102546938E-2
1.312319040E0,4.399415789E2,-4.514957832E-2
1.362320082E0,4.399735770E2,-2.041903511E-2
1.409293838E0,4.399693208E2,-2.370833225E-2
1.459294880E0,4.400023756E2,1.835669916E-3
1.509295921E0,4.399256113E2,-5.749189051E-2
1.559296963E0,4.399255697E2,-5.752408968E-2
1.609298005E0,4.399624822E2,-2.899351260E-2
1.659299046E0,4.398969804E2,-7.962469859E-2
1.709300088E0,4.399180902E2,-6.330575693E-2
1.759301130E0,4.399640707E2,-2.776578322E-2
1.809302172E0,4.399263591E2,-5.691382690E-2
1.859303213E0,4.399278610E2,-5.575294411E-2
1.909304255E0,4.399366099E2,-4.899030881E-2
1.959305297E0,4.400128949E2,9.963976737E-3
2.011026659E0,4.398987658E2,-7.824439748E-2
2.061027701E0,4.399568902E2,-3.331540210E-2
2.111028742E0,4.399264129E2,-5.687226459E-2
2.161029784E0,4.399185225E2,-6.297157061E-2
2.211030826E0,4.398805763E2,-9.230697496E-2
2.261031867E0,4.399005341E2,-7.687739410E-2
2.311032909E0,4.399511437E2,-3.775677165E-2
2.361033951E0,4.398855590E2,-8.845466819E-2
2.411034993E0,4.400489382E2,3.781170231E-2
2.461036034E0,4.399126638E2,-6.750047737E-2
2.511037076E0,4.399161692E2,-6.479066746E-2
2.561038118E0,4.398692416E2,-1.010706302E-1
2.704344280E0,4.399293006E2,-5.464013906E-2
2.754345322E0,4.399329363E2,-5.182983173E-2
2.804346363E0,4.399374616E2,-4.833203423E-2
2.854347405E0,4.399267903E2,-5.658052579E-2
2.904348447E0,4.399469970E2,-4.096180791E-2
2.954349488E0,4.399289005E2,-5.494938593E-2
3.004350530E0,4.399139142E2,-6.653383995E-2
3.054351572E0,4.398967773E2,-7.978170148E-2
3.104352614E0,4.399654037E2,-2.673560360E-2
3.154353655E0,4.398514899E2,-1.147965521E-1
3.204354697E0,4.399261070E2,-5.710872155E-2
3.254355739E0,4.399477822E2,-4.035487570E-2
3.304356780E0,4.399915491E2,-6.530362123E-3
3.354357822E0,4.399849251E2,-1.164918703E-2
3.409996017E0,4.399546407E2,-3.505401107E-2
3.459997059E0,4.399172079E2,-6.398778392E-2
