"Time (s)","Frequency (Hz)","Speed (m/s)"
8.068339350E-1,4.398884862E2,-8.619158193E-2
8.568349767E-1,4.398423731E2,-1.218462522E-1
9.068360184E-1,4.398881859E2,-8.642378999E-2
9.568370601E-1,4.399467535E2,-4.115003037E-2
1.006838102E0,4.393002958E2,-5.415417039E-1
1.056839143E0,4.398374161E2,-1.256794916E-1
1.106840185E0,4.399754562E2,-1.896675838E-2
1.156841227E0,4.399125732E2,-6.757053738E-2
1.206842269E0,4.398346704E2,-1.278027057E-1
1.256843310E0,4.397592189E2,-1.861600272E-1
1.306844352E0,4.398497049E2,-1.161767769E-1
1.356845394E0,4.398265689E2,-1.340677581E-1
1.505178952E0,4.398314299E2,-1.303086567E-1
1.555179994E0,4.397832653E2,-1.675593854E-1
1.605181035E0,4.397610665E2,-1.847307295E-1
1.655182077E0,4.398312079E2,-1.304803071E-1
1.705183119E0,4.400217600E2,1.681374651E-2
1.755184160E0,4.399258514E2,-5.730634067E-2
1.805185202E0,4.397695352E2,-1.781797706E-1
1.855186244E0,4.398289129E2,-1.322550708E-1
1.905187286E0,4.398390100E2,-1.244469244E-1
1.955188327E0,4.397888272E2,-1.632573700E-1
2.005189369E0,4.397611885E2,-1.846363566E-1
2.055190411E0,4.398027654E2,-1.524768945E-1
2.105191452E0,4.397857450E2,-1.656413605E-1
2.155192494E0,4.398979253E2,-7.889422270E-2
2.205422720E0,4.397491248E2,-1.939687041E-1
2.255423762E0,4.398481516E2,-1.173779231E-1
2.305424803E0,4.398379134E2,-1.252948563E-1
2.355425845E0,4.398397508E2,-1.238740314E-1
2.405426887E0,4.397954888E2,-1.581048838E-1
2.455427928E0,4.397308979E2,-2.080698057E-1
2.505428970E0,4.398686348E2,-1.015397929E-1
2.555430012E0,4.398157073E2,-1.424676517E-1
2.605431054E0,4.399065068E2,-7.226011758E-2
2.655432095E0,4.397830645E2,-1.677146867E-1
2.705433137E0,4.397575141E2,-1.874787743E-1
2.755434179E0,4.398082248E2,-1.482545530E-1
2.805435220E0,4.396949799E2,-2.358608711E-1
2.855436262E0,4.398001369E2,-1.545098640E-1
