"Time (s)","Frequency (Hz)","Speed (m/s)"
8.077494550E-1,4.401412602E2,1.091206011E-1
8.577504967E-1,4.399502872E2,-3.841878632E-2
9.077515384E-1,4.401408349E2,1.087921449E-1
9.577525801E-1,4.393077895E2,-5.357327442E-1
1.007753622E0,4.398857819E2,-8.828236724E-2
1.057754663E0,4.398926973E2,-8.293596520E-2
1.107755705E0,4.397604578E2,-1.852016257E-1
1.157756747E0,4.398812429E2,-9.179161525E-2
1.207757789E0,4.398929933E2,-8.270709038E-2
1.257758830E0,4.400523703E2,4.046315965E-2
1.307759872E0,4.397547018E2,-1.896543364E-1
1.357760914E0,4.398834481E2,-9.008670519E-2
1.407424463E0,4.399690227E2,-2.393865535E-2
1.457425505E0,4.399656094E2,-2.657659930E-2
1.507426546E0,4.400247806E2,1.914753097E-2
1.557427588E0,4.399714907E2,-2.203134641E-2
1.607428630E0,4.398583546E2,-1.094884822E-1
1.657429671E0,4.400193191E2,1.492772058E-2
1.707430713E0,4.399816484E2,-1.418135198E-2
1.757431755E0,4.399116083E2,-6.831640186E-2
1.807432797E0,4.399832145E2,-1.297111984E-2
1.857433838E0,4.399690292E2,-2.393364673E-2
1.907434880E0,4.398667450E2,-1.030009775E-1
1.957435922E0,4.400656019E2,5.068485051E-2
2.109171408E0,4.398985840E2,-7.838494021E-2
2.159172450E0,4.399627941E2,-2.875247635E-2
2.209173491E0,4.400212573E2,1.642532309E-2
2.259174533E0,4.398881867E2,-8.642313222E-2
2.309175575E0,4.400656889E2,5.075200566E-2
2.359176616E0,4.398420125E2,-1.221250811E-1
2.409177658E0,4.400446825E2,3.452384866E-2
2.459178700E0,4.397768957E2,-1.724862012E-1
2.509179742E0,4.400214972E2,1.661068806E-2
2.559180783E0,4.400416571E2,3.218656225E-2
2.609181825E0,4.400425613E2,3.288507284E-2
2.659182867E0,4.399576844E2,-3.270154584E-2
2.709183908E0,4.399508520E2,-3.798221368E-2
2.759184950E0,4.399619401E2,-2.941244547E-2
2.810740332E0,4.398690817E2,-1.011942147E-1
2.860741374E0,4.400375036E2,2.897755489E-2
2.910742415E0,4.398551320E2,-1.119803019E-1
2.960743457E0,4.398762956E2,-9.561662018E-2
3.010744499E0,4.398770722E2,-9.501618636E-2
3.060745540E0,4.398709859E2,-9.972192844E-2
3.110746582E0,4.400411982E2,3.183198546E-2
3.160747624E0,4.401038015E2,8.019134388E-2
3.210748666E0,4.400290197E2,2.242285521E-2
3.260749707E0,4.399721135E2,-2.154998696E-2
3.310750749E0,4.398156675E2,-1.424984120E-1
3.360751791E0,4.401050723E2,8.117288219E-2
3.410752832E0,4.399302708E2,-5.389019793E-2
3.460753874E0,4.399961200E2,-2.998243639E-3
3.509831964E0,4.399223247E2,-6.003241086E-2
3.559833006E0,4.401464131E2,1.130997235E-1
3.609834047E0,4.399762913E2,-1.832137351E-2
3.659835089E0,4.399514059E2,-3.755414158E-2
3.709836131E0,4.399940926E2,-4.564849094E-3
3.759837172E0,4.397953124E2,-1.582412966E-1
3.809838214E0,4.400537221E2,4.150747946E-2
3.859839256E0,4.398673423E2,-1.025391504E-1
3.909840298E0,4.399700178E2,-2.316965172E-2
3.959841339E0,4.399887167E2,-8.719175648E-3
4.009842381E0,4.400588456E2,4.546551234E-2
4.059843423E0,4.399630338E2,-2.856719705E-2
4.109844464E0,4.397651141E2,-1.815996644E-1
4.159845506E0,4.400784593E2,6.061681908E-2
4.210524169E0,4.399904753E2,-7.360185950E-3
4.260525211E0,4.401392296E2,1.075524882E-1
4.310526252E0,4.398736684E2,-9.764789433E-2
4.360527294E0,4.399197361E2,-6.203338515E-2
4.410528336E0,4.399155029E2,-6.530574611E-2
4.460529377E0,4.399155606E2,-6.526112190E-2
4.510530419E0,4.400754240E2,5.827221969E-2
4.560531461E0,4.399011140E2,-7.642908492E-2
4.610532503E0,4.400833479E2,6.439296298E-2
4.660533544E0,4.399745341E2,-1.967934088E-2
4.710534586E0,4.400121555E2,9.392660730E-3
4.760535628E0,4.400852292E2,6.584617963E-2
4.810536669E0,4.398253877E2,-1.349812497E-1
4.860537711E0,4.401720188E2,1.328716984E-1
4.908274655E0,4.399807879E2,-1.484636368E-2
4.958275697E0,4.400000244E2,1.882162366E-5
5.008276738E0,4.399077570E2,-7.129364288E-2
5.058277780E0,4.399875131E2,-9.649239405E-3
5.108278822E0,4.399042018E2,-7.404197115E-2
5.158279863E0,4.397973436E2,-1.566702724E-1
5.208280905E0,4.399789069E2,-1.630002608E-2
5.258281947E0,4.399104759E2,-6.919181377E-2
5.308282989E0,4.400580176E2,4.482586891E-2
5.358284030E0,4.398942462E2,-8.173847211E-2
5.408285072E0,4.399574305E2,-3.289780675E-2
5.458286114E0,4.399175849E2,-6.369630511E-2
5.508287155E0,4.398606082E2,-1.077459815E-1
5.558288197E0,4.397497262E2,-1.935034604E-1
5.609612954E0,4.399446550E2,-4.277200892E-2
5.659613996E0,4.399378189E2,-4.805585173E-2
5.709615037E0,4.398816276E2,-9.149417009E-2
5.759616079E0,4.399446977E2,-4.273899149E-2
5.809617121E0,4.399128612E2,-6.734789440E-2
5.859618162E0,4.399660497E2,-2.623637360E-2
5.909619204E0,4.399335181E2,-5.138012520E-2
5.959620246E0,4.398497457E2,-1.161452482E-1
6.009621288E0,4.398940590E2,-8.188322976E-2
6.059622329E0,4.398085832E2,-1.479773563E-1
6.109623371E0,4.398926174E2,-8.299772938E-2
6.159624413E0,4.398163894E2,-1.419401216E-1
6.209625454E0,4.397487487E2,-1.942596967E-1
6.259626496E0,4.399128029E2,-6.739289740E-2
6.306649847E0,4.399034124E2,-7.465225776E-2
6.356650889E0,4.400795742E2,6.147801465E-2
6.406651930E0,4.399033978E2,-7.466355152E-2
6.456652972E0,4.399062855E2,-7.243115190E-2
6.506654014E0,4.400436219E2,3.370451222E-2
6.556655055E0,4.398255033E2,-1.348918313E-1
6.606656097E0,4.398475508E2,-1.178425155E-1
6.656657139E0,4.397395117E2,-2.014056387E-1
6.706658181E0,4.399199082E2,-6.190037078E-2
6.756659222E0,4.400417748E2,3.227744256E-2
6.806660264E0,4.399256236E2,-5.748242102E-2
6.856661306E0,4.400705330E2,5.449403037E-2
6.906662347E0,4.398071294E2,-1.491017114E-1
6.956663389E0,4.399298213E2,-5.423766660E-2
7.009427521E0,4.398397351E2,-1.238862086E-1
7.059428563E0,4.398201831E2,-1.390062647E-1
7.109429604E0,4.398804408E2,-9.241173151E-2
7.159430646E0,4.399720987E2,-2.156147141E-2
7.209431688E0,4.399830857E2,-1.307064299E-2
7.259432729E0,4.399333146E2,-5.153744909E-2
7.309433771E0,4.399206366E2,-6.133736363E-2
7.359434813E0,4.399023100E2,-7.550447673E-2
7.409435855E0,4.398555370E2,-1.116671274E-1
7.459436896E0,4.398866331E2,-8.762427411E-2
7.509437938E0,4.398070905E2,-1.491318356E-1
7.559438980E0,4.400479831E2,3.707383642E-2
7.609440021E0,4.399004400E2,-7.695014368E-2
7.659441063E0,4.398639755E2,-1.051423519E-1
7.709197538E0,4.399360115E2,-4.945286984E-2
7.759198580E0,4.396651553E2,-2.589407159E-1
7.809199621E0,4.398675362E2,-1.023891906E-1
7.859200663E0,4.394986652E2,-3.878369621E-1
7.909201705E0,4.398717239E2,-9.915134447E-2
7.959202746E0,4.394705290E2,-4.096296322E-1
8.009203788E0,4.393706813E2,-4.869882721E-1
8.059204830E0,4.395240729E2,-3.681600892E-1
8.109205872E0,4.394116775E2,-4.552214972E-1
8.159206913E0,4.394030935E2,-4.618725109E-1
8.209207955E0,4.395955314E2,-3.128314928E-1
8.259208997E0,4.393525341E2,-5.010518599E-1
8.309210038E0,4.393039976E2,-5.386720821E-1
8.359211080E0,4.389086330E2,-8.454260488E-1
8.409546827E0,4.397135224E2,-2.215133098E-1
8.459547869E0,4.398372420E2,-1.258140546E-1
8.509548910E0,4.405000795E2,3.859864072E-1
8.559549952E0,NaN,NaN
8.609550994E0,4.398254510E2,-1.349323118E-1
8.659552035E0,4.398919767E2,-8.349302230E-2
8.709553077E0,4.401335055E2,1.031320269E-1
8.759554119E0,4.400405562E2,3.133595755E-2
8.809555161E0,4.405369404E2,4.144027542E-1
8.859556202E0,4.402087305E2,1.612152708E-1
8.909557244E0,4.400676366E2,5.225657491E-2
8.959558286E0,4.401875090E2,1.448316358E-1
9.009559327E0,4.404362481E2,3.367669006E-1
9.059560369E0,4.403703068E2,2.859055098E-1
9.108536792E0,4.404660046E2,3.597135062E-1
9.158537834E0,4.403667219E2,2.831399919E-1
9.208538875E0,4.402630111E2,2.031144278E-1
9.258539917E0,4.403727201E2,2.877672388E-1
9.308540959E0,4.403153295E2,2.434891986E-1
9.358542000E0,4.403553501E2,2.743671027E-1
9.408543042E0,4.402051667E2,1.584640433E-1
9.458544084E0,4.401840201E2,1.421379092E-1
9.508545126E0,4.400004513E2,3.487215729E-4
9.558546167E0,4.400021315E2,1.647032060E-3
9.608547209E0,4.399830690E2,-1.308357257E-2
9.658548251E0,4.398169504E2,-1.415062835E-1
9.708549292E0,4.398179094E2,-1.407646122E-1
9.758550334E0,4.396434566E2,-2.757342664E-1
9.808109779E0,4.395926676E2,-3.150485423E-1
9.858110821E0,4.396193554E2,-2.943891729E-1
9.908111862E0,4.394925792E2,-3.925505540E-1
9.958112904E0,4.394518952E2,-4.240637605E-1
1.000811395E1,4.394088078E2,-4.574449630E-1
1.005811499E1,4.395275805E2,-3.654438005E-1
1.010811603E1,4.395263156E2,-3.664232989E-1
1.015811707E1,4.395564689E2,-3.430743697E-1
1.020811811E1,4.396099743E2,-3.016508573E-1
1.025811915E1,4.396191039E2,-2.945838142E-1
1.030812020E1,4.395027736E2,-3.846550889E-1
1.035812124E1,4.396735953E2,-2.524090961E-1
1.040812228E1,4.397222630E2,-2.147504915E-1
1.045812332E1,4.396789735E2,-2.482470657E-1
1.050721120E1,4.395250578E2,-3.673973663E-1
1.055721224E1,4.398661400E2,-1.034687436E-1
1.060721329E1,4.399587892E2,-3.184770915E-2
1.065721433E1,4.398804017E2,-9.244196966E-2
1.070721537E1,4.401072166E2,8.282902434E-2
1.075721641E1,4.399522677E2,-3.688802379E-2
