"Time (s)","Frequency (Hz)","Speed (m/s)"
9.242075400E-1,4.400165659E2,1.280045628E-2
9.742085817E-1,4.388174811E2,-9.162269664E-1
1.024209623E0,4.375663295E2,-1.891022978E0
1.074210665E0,4.378268395E2,-1.687595432E0
1.124211707E0,4.393210802E2,-5.254305774E-1
1.174212748E0,NaN,NaN
1.224213790E0,4.399120673E2,-6.796160362E-2
1.274214832E0,4.408752737E2,6.750050875E-1
1.324215874E0,4.401664519E2,1.285732556E-1
1.374216915E0,4.400517966E2,4.001990607E-2
1.424217957E0,4.403382104E2,2.611436864E-1
1.474218999E0,4.403283148E2,2.535086607E-1
1.524220040E0,4.402607572E2,2.013748456E-1
1.574221082E0,4.403617697E2,2.793196485E-1
1.626094381E0,4.401316851E2,1.017262049E-1
1.676095423E0,4.400147386E2,1.138851335E-2
1.726096464E0,4.401248522E2,9.644929599E-2
1.776097506E0,NaN,NaN
1.826098548E0,NaN,NaN
1.876099589E0,4.402532461E2,1.955776368E-1
1.926100631E0,4.400777257E2,6.005013972E-2
1.976101673E0,4.400472725E2,3.652484205E-2
2.026102715E0,4.373626434E2,-2.050246538E0
2.076103756E0,NaN,NaN
2.126104798E0,4.412873984E2,9.919056693E-1
2.176105840E0,4.387423255E2,-9.746252376E-1
2.226106881E0,4.401190101E2,9.193750344E-2
2.276107923E0,4.399195840E2,-6.215100597E-2
2.320241846E0,4.396287919E2,-2.870847857E-1
2.370242888E0,4.398596395E2,-1.084949987E-1
2.420243929E0,4.399303338E2,-5.384152361E-2
2.470244971E0,4.400076117E2,5.881629046E-3
2.520246013E0,4.399751423E2,-1.920931532E-2
2.570247054E0,4.400007865E2,6.077637119E-4
2.620248096E0,4.400523760E2,4.046754857E-2
2.670249138E0,4.399320976E2,-5.247811248E-2
2.720250180E0,4.398861990E2,-8.795988195E-2
2.770251221E0,4.397634644E2,-1.828758051E-1
2.820252263E0,4.399328654E2,-5.188462990E-2
2.870253305E0,4.399182670E2,-6.316905165E-2
2.920254346E0,4.398768666E2,-9.517516395E-2
2.970255388E0,4.399396002E2,-4.667895525E-2
3.017640144E0,4.398737195E2,-9.760841095E-2
3.067641186E0,4.399375051E2,-4.829835949E-2
3.117642227E0,4.398667877E2,-1.029679847E-1
3.167643269E0,4.399220854E2,-6.021742657E-2
3.217644311E0,4.399430653E2,-4.400066440E-2
3.267645352E0,4.399593568E2,-3.140904632E-2
3.317646394E0,4.399575580E2,-3.279926822E-2
3.367647436E0,4.399069773E2,-7.189641117E-2
3.417648478E0,4.399273488E2,-5.614880826E-2
3.467649519E0,4.399722697E2,-2.142931432E-2
3.517650561E0,4.399171939E2,-6.399856386E-2
3.567651603E0,4.399729643E2,-2.089248815E-2
3.617652644E0,4.399168776E2,-6.424307430E-2
3.667653686E0,4.399466655E2,-4.121800432E-2
3.719646985E0,4.399114498E2,-6.843889937E-2
3.769648027E0,4.398936144E2,-8.222696090E-2
3.819649068E0,4.398952465E2,-8.096514378E-2
3.869650110E0,4.398989175E2,-7.812717747E-2
3.919651152E0,4.399267445E2,-5.661593433E-2
3.969652193E0,4.399385862E2,-4.746276922E-2
4.019653235E0,4.398815444E2,-9.155854490E-2
4.069654277E0,4.398926207E2,-8.299516177E-2
4.119655319E0,4.399244979E2,-5.835254893E-2
4.169656360E0,4.399432361E2,-4.386871124E-2
4.219657402E0,4.398840992E2,-8.958328194E-2
4.269658444E0,4.398862665E2,-8.790766919E-2
4.319659485E0,4.398710856E2,-9.964486229E-2
4.369660527E0,4.399192616E2,-6.240019878E-2
4.323159910E0,4.399092658E2,-7.012725820E-2
4.373160952E0,4.398476689E2,-1.177511256E-1
4.423161993E0,4.398709030E2,-9.978602818E-2
4.473163035E0,4.397830360E2,-1.677367114E-1
4.523164077E0,4.398732478E2,-9.797307444E-2
4.573165118E0,4.399126495E2,-6.751148035E-2
4.623166160E0,4.398403051E2,-1.234454298E-1
4.673167202E0,4.397433732E2,-1.984182634E-1
4.723168244E0,4.397998615E2,-1.547228663E-1
4.773169285E0,4.398450779E2,-1.197546679E-1
4.823170327E0,4.398968055E2,-7.975989737E-2
4.873171369E0,4.397541105E2,-1.901117793E-1
5.016543521E0,4.398299245E2,-1.314728240E-1
5.066544563E0,4.399290840E2,-5.480758818E-2
5.116545604E0,4.397426999E2,-1.989391066E-1
5.166546646E0,4.398421635E2,-1.220083289E-1
5.216547688E0,4.398523104E2,-1.141621303E-1
5.266548729E0,4.399159084E2,-6.499229931E-2
5.316549771E0,4.398976722E2,-7.908986244E-2
5.366550813E0,4.397414904E2,-1.998748631E-1
5.416551855E0,4.398528133E2,-1.137732177E-1
5.466552896E0,4.397544224E2,-1.898704967E-1
