"Time (s)","Frequency (Hz)","Speed (m/s)"
8.087418510E-1,4.399603772E2,-3.062040167E-2
8.587428927E-1,4.400144921E2,1.119808730E-2
9.087439344E-1,4.400252095E2,1.947892849E-2
9.587449761E-1,4.399988269E2,-9.065104434E-4
1.008746018E0,4.398411724E2,-1.227747062E-1
1.058747059E0,4.399943284E2,-4.382658095E-3
1.108748101E0,4.399185760E2,-6.293022298E-2
1.158749143E0,4.399570144E2,-3.321941778E-2
1.208750185E0,4.398983757E2,-7.854599911E-2
1.258751226E0,4.399155595E2,-6.526196426E-2
1.308752268E0,4.398703986E2,-1.001760779E-1
1.358753310E0,4.399850182E2,-1.157725569E-2
1.417437016E0,4.400023023E2,1.779028241E-3
1.467438058E0,4.400493741E2,3.814844906E-2
1.517439099E0,4.400125515E2,9.698619318E-3
1.567440141E0,4.400284921E2,2.201521695E-2
1.617441183E0,4.399861685E2,-1.068833124E-2
1.667442224E0,4.399886796E2,-8.747817919E-3
1.717443266E0,4.400446130E2,3.447022061E-2
1.767444308E0,4.399712020E2,-2.225446836E-2
1.817445350E0,4.400823041E2,6.358671725E-2
1.867446391E0,4.400347998E2,2.688866582E-2
1.917447433E0,4.400618596E2,4.779387762E-2
1.967448475E0,4.399550339E2,-3.475009002E-2
2.109909898E0,4.399359796E2,-4.947753759E-2
2.159910940E0,4.400141800E2,1.095695728E-2
2.209911981E0,4.399406895E2,-4.583703061E-2
2.259913023E0,4.400954649E2,7.375230892E-2
2.309914065E0,4.400907331E2,7.009748268E-2
2.359915106E0,4.400495791E2,3.830677867E-2
2.409916148E0,4.400335670E2,2.593619600E-2
2.459917190E0,4.400265250E2,2.049537258E-2
2.509918232E0,4.400390472E2,3.017015751E-2
2.559919273E0,4.400861198E2,6.653409122E-2
2.609920315E0,4.400496319E2,3.834760382E-2
2.659921357E0,4.401237614E2,9.560689787E-2
2.709922398E0,4.400208004E2,1.607223873E-2
2.759923440E0,4.400539413E2,4.167683094E-2
2.707834853E0,4.399386250E2,-4.743274776E-2
2.757835895E0,4.399596201E2,-3.120552139E-2
2.807836936E0,4.401059464E2,8.184798566E-2
2.857837978E0,4.401538207E2,1.188199254E-1
2.907839020E0,4.402564051E2,1.980158374E-1
2.957840061E0,4.402497710E2,1.928953489E-1
3.007841103E0,4.401525195E2,1.178151346E-1
3.057842145E0,4.401307506E2,1.010045532E-1
3.107843187E0,4.401567264E2,1.210636697E-1
3.157844228E0,4.401775252E2,1.371232134E-1
3.207845270E0,4.401204053E2,9.301503058E-2
3.257846312E0,4.400835353E2,6.453777892E-2
3.408764871E0,4.400665655E2,5.142923454E-2
3.458765913E0,4.400690716E2,5.336514840E-2
3.508766954E0,4.401319148E2,1.019035889E-1
3.558767996E0,4.401988546E2,1.535909814E-1
3.608769038E0,4.401624195E2,1.254596761E-1
3.658770079E0,4.401635287E2,1.263161675E-1
3.708771121E0,4.401741775E2,1.345384810E-1
3.758772163E0,4.401428836E2,1.103742452E-1
3.808773205E0,4.402663018E2,2.056541666E-1
3.858774246E0,4.402265861E2,1.749991681E-1
3.908775288E0,4.400440944E2,3.406953032E-2
3.958776330E0,4.401488904E2,1.150127898E-1
4.008777371E0,4.401738735E2,1.343037443E-1
4.058778413E0,4.402616954E2,2.020989661E-1
4.109836295E0,4.400900922E2,6.960246531E-2
4.159837337E0,4.400959658E2,7.413921586E-2
4.209838378E0,4.402387324E2,1.843750169E-1
4.259839420E0,4.402192998E2,1.693745055E-1
4.309840462E0,4.402400525E2,1.853939312E-1
4.359841503E0,4.401903199E2,1.470018183E-1
4.409842545E0,4.401520629E2,1.174625753E-1
4.459843587E0,4.402829437E2,2.184978084E-1
4.509844629E0,4.402423502E2,1.871675320E-1
4.559845670E0,4.403143732E2,2.427513150E-1
4.609846712E0,4.401217119E2,9.402412233E-2
4.659847754E0,4.401269039E2,9.803379364E-2
4.709848795E0,4.402737835E2,2.114283922E-1
4.759849837E0,4.402239557E2,1.729686004E-1
4.707863594E0,4.403869144E2,2.987166234E-1
4.757864636E0,4.401862215E2,1.438375423E-1
4.807865677E0,4.401180616E2,9.120494873E-2
4.857866719E0,4.403213233E2,2.481140696E-1
4.907867761E0,4.402844802E2,2.196835367E-1
