"Time (s)","Frequency (Hz)","Speed (m/s)"
8.037491430E-1,4.399830558E2,-1.309375621E-2
8.537501847E-1,4.399994052E2,-4.595985011E-4
9.037512264E-1,4.397888349E2,-1.632513896E-1
9.537522681E-1,4.394189155E2,-4.496135895E-1
1.003753310E0,4.398524729E2,-1.140364802E-1
1.053754351E0,4.399012003E2,-7.636237547E-2
1.103755393E0,4.398752746E2,-9.640600939E-2
1.153756435E0,4.398234959E2,-1.364442315E-1
1.203757477E0,4.398728432E2,-9.828589385E-2
1.253758518E0,4.399626317E2,-2.887795144E-2
1.303759560E0,4.397902674E2,-1.621433513E-1
1.353760602E0,4.398606228E2,-1.077346740E-1
1.417729360E0,4.399833056E2,-1.290074175E-2
1.467730402E0,4.398678707E2,-1.021305514E-1
1.517731443E0,4.398403746E2,-1.233916882E-1
1.567732485E0,4.399151473E2,-6.558061556E-2
1.617733527E0,4.398482831E2,-1.172762050E-1
1.667734568E0,4.398773772E2,-9.478042152E-2
1.717735610E0,4.399178983E2,-6.345403058E-2
1.767736652E0,4.398588820E2,-1.090807503E-1
1.817737694E0,4.398236703E2,-1.363094324E-1
1.867738735E0,4.399003253E2,-7.703877276E-2
1.917739777E0,4.399993344E2,-5.143623854E-4
1.967740819E0,4.398698228E2,-1.006212696E-1
2.111715731E0,4.399630666E2,-2.854186060E-2
2.161716773E0,4.398499310E2,-1.160019913E-1
2.211717814E0,4.399260184E2,-5.717722768E-2
2.261718856E0,4.399018185E2,-7.588444032E-2
2.311719898E0,4.398115165E2,-1.457087710E-1
2.361720939E0,4.399326381E2,-5.206031636E-2
2.411721981E0,4.399056972E2,-7.288592899E-2
2.461723023E0,4.399250476E2,-5.792765517E-2
2.511724065E0,4.399307517E2,-5.351850004E-2
2.561725106E0,4.399212267E2,-6.088117658E-2
2.611726148E0,4.398799326E2,-9.280465295E-2
2.661727190E0,4.400106011E2,8.191530860E-3
2.711728231E0,4.399292629E2,-5.466928204E-2
2.761729273E0,4.399405032E2,-4.598098719E-2
2.809790644E0,4.398865563E2,-8.768368523E-2
2.859791686E0,4.398907727E2,-8.442384965E-2
2.909792727E0,4.398627423E2,-1.060958496E-1
2.959793769E0,4.399159335E2,-6.497289974E-2
3.009794811E0,4.399350802E2,-5.017266774E-2
3.059795852E0,4.398949843E2,-8.116789590E-2
3.109796894E0,4.399078241E2,-7.124174497E-2
3.159797936E0,4.399323400E2,-5.229075611E-2
3.209798978E0,4.398866469E2,-8.761363157E-2
3.259800019E0,4.399343273E2,-5.075462606E-2
3.309801061E0,4.398997026E2,-7.752023223E-2
3.359802103E0,4.400635994E2,4.913786243E-2
3.409803144E0,4.398284788E2,-1.325907775E-1
3.459804186E0,4.399677421E2,-2.492838764E-2
3.512907121E0,4.398511333E2,-1.150723289E-1
3.562908163E0,4.400021944E2,1.695685853E-3
3.612909204E0,4.399220772E2,-6.022370504E-2
3.662910246E0,4.399984587E2,-1.191022389E-3
3.712911288E0,4.399281606E2,-5.552130492E-2
3.762912329E0,4.399273608E2,-5.613954622E-2
3.812913371E0,4.399644392E2,-2.748099356E-2
3.862914413E0,4.399178409E2,-6.349839949E-2
3.912915455E0,4.395373784E2,-3.578566154E-1
3.962916496E0,4.393356687E2,-5.141231497E-1
4.012917538E0,4.388323366E2,-9.046861728E-1
4.062918580E0,4.388474329E2,-8.929591305E-1
4.112919621E0,4.384671461E2,-1.188618896E0
4.162920663E0,4.380258585E2,-1.532348134E0
4.119124733E0,4.384903001E2,-1.170602785E0
4.169125775E0,4.381748573E2,-1.416212054E0
4.219126816E0,4.385246313E2,-1.143893207E0
4.269127858E0,NaN,NaN
4.319128900E0,4.377297329E2,-1.763395913E0
4.369129941E0,4.402628367E2,2.029798159E-1
4.419130983E0,4.399910860E2,-6.888251187E-3
4.469132025E0,4.397165365E2,-2.191811604E-1
4.519133067E0,4.387677421E2,-9.548734827E-1
4.569134108E0,4.402573576E2,1.987509976E-1
4.619135150E0,4.403738881E2,2.886682198E-1
4.669136192E0,4.400893600E2,6.903685093E-2
4.812830219E0,4.401451810E2,1.121483016E-1
4.862831261E0,4.399634430E2,-2.825092324E-2
4.912832302E0,4.401272690E2,9.831578770E-2
4.962833344E0,4.410010732E2,7.718005763E-1
5.012834386E0,4.415397023E2,1.185621050E0
5.062835427E0,4.411016185E2,8.491247287E-1
5.112836469E0,4.416150216E2,1.243407337E0
5.162837511E0,4.421394565E2,1.645216673E0
5.212838553E0,4.421332237E2,1.640446845E0
5.262839594E0,4.422072685E2,1.697102998E0
5.312840636E0,4.418148476E2,1.396621666E0
5.362841678E0,4.422080101E2,1.697670336E0
5.412842719E0,4.420011112E2,1.539312428E0
5.462843761E0,4.413185118E2,1.015806040E0
5.516862581E0,4.410207419E2,7.869295069E-1
5.566863623E0,4.405963865E2,4.602203292E-1
5.616864664E0,4.406184290E2,4.772062467E-1
5.666865706E0,4.405763441E2,4.447742110E-1
5.716866748E0,4.402466352E2,1.904749905E-1
5.766867789E0,4.402645600E2,2.043098761E-1
5.816868831E0,4.402450956E2,1.892866160E-1
5.866869873E0,4.400899390E2,6.948413706E-2
5.916870915E0,4.399672054E2,-2.534319571E-2
5.966871956E0,4.394672190E2,-4.121935045E-1
6.016872998E0,4.390847081E2,-7.087453673E-1
6.066874040E0,4.389355078E2,-8.245570039E-1
6.116875081E0,4.384957394E2,-1.166370788E0
6.166876123E0,4.379954564E2,-1.556054570E0
6.205236139E0,4.383458704E2,-1.283014436E0
6.255237181E0,4.382319472E2,-1.371734674E0
6.305238222E0,4.385091465E2,-1.155939847E0
6.355239264E0,4.374033451E2,-2.018417754E0
6.405240306E0,NaN,NaN
6.455241347E0,4.379003821E2,-1.630211164E0
6.505242389E0,4.396149955E2,-2.977640440E-1
6.555243431E0,4.395288331E2,-3.644737832E-1
6.605244473E0,4.391342901E2,-6.702764406E-1
6.655245514E0,4.392170630E2,-6.060752329E-1
6.705246556E0,4.398251234E2,-1.351856686E-1
6.755247598E0,4.399825375E2,-1.349425460E-2
6.805248639E0,4.400255046E2,1.970694820E-2
6.855249681E0,4.402542810E2,1.963763910E-1
6.815642762E0,4.402747634E2,2.121846596E-1
6.865643804E0,4.402372758E2,1.832506503E-1
6.915644845E0,4.406850690E2,5.285485726E-1
6.965645887E0,4.408175824E2,6.305964967E-1
7.015646929E0,4.417315203E2,1.332748263E0
7.065647970E0,NaN,NaN
7.115649012E0,4.421882564E2,1.682557533E0
7.165650054E0,4.422623755E2,1.739256443E0
7.215651096E0,4.420543276E2,1.580057762E0
7.265652137E0,4.415069212E2,1.160464692E0
7.315653179E0,4.421361967E2,1.642722032E0
7.365654221E0,4.413508850E2,1.040670607E0
7.517078926E0,4.413317439E2,1.025969575E0
7.567079968E0,4.409015530E2,6.952300670E-1
7.617081009E0,4.405815850E2,4.488133222E-1
7.667082051E0,4.405010403E2,3.867271499E-1
7.717083093E0,4.404916188E2,3.794632727E-1
7.767084134E0,4.403331204E2,2.572164599E-1
7.817085176E0,4.402457645E2,1.898029102E-1
7.867086218E0,4.402333639E2,1.802310352E-1
7.917087260E0,4.400927681E2,7.166931304E-2
7.967088301E0,4.399260672E2,-5.713948850E-2
8.017089343E0,4.393031153E2,-5.393560757E-1
8.067090385E0,4.390960068E2,-6.999783270E-1
8.117091426E0,4.388218227E2,-9.128540401E-1
8.167092468E0,4.381734575E2,-1.417302755E0
8.204423786E0,4.383870306E2,-1.250971316E0
8.254424828E0,4.382169463E2,-1.383420421E0
8.304425869E0,4.388224275E2,-9.123841966E-1
8.354426911E0,4.383827473E2,-1.254305541E0
8.404427953E0,4.372386632E2,-2.147235818E0
8.454428994E0,NaN,NaN
8.504430036E0,4.395116263E2,-3.777990110E-1
8.554431078E0,4.401766198E2,1.364241866E-1
8.604432120E0,4.395064368E2,-3.818180188E-1
8.654433161E0,4.389130894E2,-8.419653663E-1
8.704434203E0,4.394939595E2,-3.914815243E-1
8.754435245E0,4.396459872E2,-2.737756285E-1
8.804436286E0,4.400652564E2,5.041791228E-2
8.854437328E0,4.401225759E2,9.469137786E-2
8.803090096E0,4.403634961E2,2.806514912E-1
8.853091138E0,4.402669080E2,2.061220183E-1
8.903092179E0,4.407226438E2,5.574909414E-1
8.953093221E0,4.412507772E2,9.637699652E-1
9.003094263E0,4.409083398E2,7.004528814E-1
9.053095304E0,4.417376243E2,1.337427951E0
9.103096346E0,4.404062181E2,3.136063130E-1
9.153097388E0,4.420919320E2,1.608843832E0
9.203098430E0,4.421331824E2,1.640415256E0
9.253099471E0,4.413776384E2,1.061216082E0
9.303100513E0,4.418242586E2,1.403834013E0
9.353101555E0,4.419514495E2,1.501279878E0
9.409904167E0,4.412027720E2,9.268810126E-1
9.459905209E0,4.411375405E2,8.767418798E-1
9.509906250E0,4.405880077E2,4.537631724E-1
9.559907292E0,4.405482375E2,4.231108958E-1
9.609908334E0,4.405771524E2,4.453971552E-1
9.659909375E0,4.405148074E2,3.973408407E-1
9.709910417E0,4.403602277E2,2.781300568E-1
9.759911459E0,4.403721708E2,2.873434914E-1
9.809912501E0,4.402440545E2,1.884830131E-1
9.859913542E0,4.399608800E2,-3.023180231E-2
9.909914584E0,4.396530109E2,-2.683395200E-1
9.959915626E0,4.392814022E2,-5.561884788E-1
1.011933038E1,4.389626699E2,-8.034675177E-1
1.016933142E1,4.383120762E2,-1.309327599E0
1.021933247E1,4.383212980E2,-1.302146812E0
1.026933351E1,4.382347351E2,-1.369562981E0
1.031933455E1,4.382156156E2,-1.384457050E0
1.036933559E1,4.386762699E2,-1.025968967E0
1.041933663E1,NaN,NaN
1.046933767E1,NaN,NaN
1.051933872E1,4.377975108E2,-1.710485591E0
1.056933976E1,4.397632215E2,-1.830637456E-1
1.061934080E1,4.397699776E2,-1.778375798E-1
1.066934184E1,4.391961400E2,-6.223014595E-1
1.071934288E1,4.389734916E2,-7.950658729E-1
1.076934392E1,4.398069321E2,-1.492543598E-1
1.080780722E1,4.398584557E2,-1.094103638E-1
1.085780826E1,4.399369742E2,-4.870875407E-2
1.090780931E1,4.398964089E2,-8.006651760E-2
1.095781035E1,4.404466478E2,3.447869061E-1
1.100781139E1,4.404127815E2,3.186685323E-1
1.105781243E1,4.406404977E2,4.942106295E-1
1.110781347E1,4.403757356E2,2.900934446E-1
1.115781451E1,4.397852513E2,-1.660232167E-1
1.120781556E1,4.405405455E2,4.171817542E-1
1.125781660E1,4.418973875E2,1.459867786E0
1.130781764E1,4.424279831E2,1.865872592E0
1.135781868E1,4.418525346E2,1.425502215E0
1.140781972E1,4.412628460E2,9.730428356E-1
1.145782076E1,4.420010481E2,1.539264095E0
1.141508869E1,4.412518929E2,9.646272139E-1
1.146508973E1,4.411788631E2,9.085055702E-1
1.151509077E1,4.409069864E2,6.994113746E-1
1.156509181E1,4.406080678E2,4.692221192E-1
1.161509286E1,4.406591556E2,5.085855880E-1
1.166509390E1,4.406475223E2,4.996229125E-1
1.171509494E1,4.405018828E2,3.873766408E-1
1.176509598E1,4.403668025E2,2.832022085E-1
1.181509702E1,4.402689679E2,2.077118593E-1
1.186509806E1,4.401217551E2,9.405745747E-2
1.191509911E1,4.399440704E2,-4.322385726E-2
1.196510015E1,4.395307387E2,-3.629981590E-1
1.211244563E1,4.391489424E2,-6.589099000E-1
1.216244668E1,4.385390128E2,-1.132705727E0
1.221244772E1,4.384359772E2,-1.212874390E0
1.226244876E1,4.381875211E2,-1.406345020E0
1.231244980E1,4.381679402E2,-1.421601796E0
