"Time (s)","Frequency (Hz)","Speed (m/s)"
8.162094050E-1,4.401412110E2,1.090825622E-1
8.662104467E-1,4.401253581E2,9.684005623E-2
9.162114884E-1,4.401955611E2,1.510482375E-1
9.662125301E-1,4.394354428E2,-4.368091799E-1
1.016213572E0,4.398616279E2,-1.069575533E-1
1.066214613E0,4.398128088E2,-1.447092772E-1
1.116215655E0,4.398639679E2,-1.051481888E-1
1.166216697E0,4.399513464E2,-3.760015123E-2
1.216217739E0,4.400267405E2,2.066183232E-2
1.266218780E0,4.398184256E2,-1.403654183E-1
1.316219822E0,4.397887210E2,-1.633394988E-1
1.366220864E0,4.398097888E2,-1.470449858E-1
1.414990141E0,4.401609250E2,1.243056727E-1
1.464991183E0,4.400012989E2,1.003719496E-3
1.514992224E0,4.399348737E2,-5.033231371E-2
1.564993266E0,4.399465985E2,-4.126983975E-2
1.614994308E0,4.398207250E2,-1.385871303E-1
1.664995349E0,4.399962546E2,-2.894172794E-3
1.714996391E0,4.399848558E2,-1.170272571E-2
1.764997433E0,4.398417648E2,-1.223166759E-1
1.814998475E0,4.397847380E2,-1.664202226E-1
1.864999516E0,4.398563782E2,-1.110166807E-1
1.915000558E0,4.400428583E2,3.311453752E-2
1.965001600E0,4.399367553E2,-4.887792709E-2
2.014781816E0,4.399565546E2,-3.357473297E-2
2.064782858E0,4.398554307E2,-1.117493927E-1
2.114783899E0,4.400109256E2,8.442291564E-3
2.164784941E0,4.397951779E2,-1.583453159E-1
2.214785983E0,4.398478522E2,-1.176093893E-1
2.264787024E0,4.399024381E2,-7.540546318E-2
2.314788066E0,4.398252817E2,-1.350632523E-1
2.364789108E0,4.396907937E2,-2.391001378E-1
2.414790150E0,4.400397517E2,3.071442224E-2
2.464791191E0,4.398864409E2,-8.777286765E-2
2.514792233E0,4.399592159E2,-3.151790267E-2
2.564793275E0,4.397566552E2,-1.881432465E-1
2.715695063E0,4.400553093E2,4.273361080E-2
2.765696105E0,4.399755386E2,-1.890305499E-2
2.815697146E0,4.400009985E2,7.715975643E-4
2.865698188E0,4.399064767E2,-7.228338396E-2
2.915699230E0,4.398018060E2,-1.532189632E-1
2.965700271E0,4.399976529E2,-1.813672185E-3
3.015701313E0,4.400091868E2,7.098729216E-3
3.065702355E0,4.399262089E2,-5.702997641E-2
3.115703397E0,4.398689356E2,-1.013072238E-1
3.165704438E0,4.398399426E2,-1.237257133E-1
3.215705480E0,4.397307201E2,-2.082073229E-1
3.265706522E0,4.399076714E2,-7.135978788E-2
3.315707563E0,4.399231951E2,-5.935960720E-2
3.365708605E0,4.400378247E2,2.922566530E-2
3.415096122E0,4.397315185E2,-2.075896793E-1
3.465097164E0,4.400368365E2,2.846219587E-2
3.515098205E0,4.399597226E2,-3.112626170E-2
3.565099247E0,4.399192143E2,-6.243677931E-2
3.615100289E0,4.399076718E2,-7.135945780E-2
3.665101330E0,4.398216477E2,-1.378735996E-1
3.715102372E0,4.400971363E2,7.504329145E-2
3.765103414E0,4.399370347E2,-4.866193871E-2
3.815104456E0,4.398406131E2,-1.232072081E-1
3.865105497E0,4.400268084E2,2.071430042E-2
3.915106539E0,4.398261300E2,-1.344071992E-1
3.965107581E0,4.399027152E2,-7.519127823E-2
4.015108622E0,4.399817940E2,-1.406885434E-2
4.065109664E0,4.399656665E2,-2.653249318E-2
4.115113535E0,4.398613001E2,-1.072109961E-1
4.165114577E0,4.398748710E2,-9.671810642E-2
4.215115618E0,4.398149517E2,-1.430520521E-1
4.265116660E0,4.399619838E2,-2.937870923E-2
4.315117702E0,4.399802845E2,-1.523536001E-2
4.365118743E0,4.399866992E2,-1.027817103E-2
4.415119785E0,4.398741724E2,-9.725824250E-2
4.465120827E0,4.398334310E2,-1.287611228E-1
4.515121869E0,4.399495874E2,-3.895967104E-2
4.565122910E0,4.398327323E2,-1.293014594E-1
4.615123952E0,4.398598338E2,-1.083447329E-1
4.665124994E0,4.399858134E2,-1.096274057E-2
4.715126035E0,4.399902155E2,-7.560956603E-3
4.765127077E0,4.399943484E2,-4.367185193E-3
4.718993543E0,4.397812025E2,-1.691549101E-1
4.768994585E0,4.400457805E2,3.537219376E-2
4.818995626E0,4.400693002E2,5.354168506E-2
4.868996668E0,4.399657097E2,-2.649911368E-2
4.918997710E0,4.398201195E2,-1.390554190E-1
4.968998751E0,4.396591117E2,-2.636179556E-1
5.018999793E0,4.400431094E2,3.330855301E-2
5.069000835E0,4.400330410E2,2.552979396E-2
5.119001877E0,4.398794187E2,-9.320202950E-2
5.169002918E0,4.401689614E2,1.305109554E-1
5.219003960E0,4.397648702E2,-1.817883423E-1
5.269005002E0,4.399537283E2,-3.575913609E-2
5.415846113E0,4.398987365E2,-7.826709285E-2
5.465847155E0,4.399493292E2,-3.915918691E-2
5.515848196E0,4.399997842E2,-1.667896992E-4
5.565849238E0,4.399064244E2,-7.232381561E-2
5.615850280E0,4.400660274E2,5.101354634E-2
5.665851321E0,4.398352370E2,-1.273645274E-1
5.715852363E0,4.400261258E2,2.018690780E-2
5.765853405E0,4.400806847E2,6.233585645E-2
5.815854447E0,4.399131447E2,-6.712868302E-2
5.865855488E0,4.399178753E2,-6.347187259E-2
5.915856530E0,4.399977367E2,-1.748922857E-3
5.965857572E0,4.403638025E2,2.808878475E-1
6.015858613E0,4.400575720E2,4.448167132E-2
6.065859655E0,4.400776036E2,5.995587075E-2
6.113158474E0,4.400691434E2,5.342059917E-2
6.163159516E0,4.398676753E2,-1.022816380E-1
6.213160557E0,4.401478312E2,1.141948057E-1
6.263161599E0,4.399783124E2,-1.675943709E-2
6.313162641E0,4.400380219E2,2.937803794E-2
6.363163682E0,4.399104921E2,-6.917927424E-2
6.413164724E0,4.397491788E2,-1.939269189E-1
6.463165766E0,4.401257042E2,9.710728626E-2
6.513166808E0,4.400181624E2,1.403400776E-2
6.563167849E0,4.401234654E2,9.537835020E-2
6.613168891E0,4.400163608E2,1.264196142E-2
6.663169933E0,4.399865458E2,-1.039676538E-2
6.713170974E0,4.401484622E2,1.146820747E-1
6.763172016E0,4.397361671E2,-2.039931893E-1
6.809341720E0,4.400436557E2,3.373057883E-2
6.859342762E0,4.398133272E2,-1.443083934E-1
6.909343803E0,4.400194143E2,1.500128573E-2
6.959344845E0,4.399091124E2,-7.024587443E-2
7.009345887E0,4.397844815E2,-1.666186561E-1
7.059346928E0,4.400310268E2,2.397359039E-2
7.109347970E0,4.397539938E2,-1.902020737E-1
7.159349012E0,4.400710691E2,5.490817844E-2
7.209350054E0,4.399972432E2,-2.130267500E-3
7.259351095E0,4.398093976E2,-1.473475272E-1
7.309352137E0,4.399345553E2,-5.057845846E-2
7.359353179E0,4.398948303E2,-8.128692716E-2
7.409354220E0,4.401365057E2,1.054489490E-1
7.459355262E0,4.399898407E2,-7.850537616E-3
7.516119968E0,4.399394905E2,-4.676374682E-2
7.566121010E0,4.401193686E2,9.221435012E-2
7.616122051E0,4.399133842E2,-6.694360319E-2
7.666123093E0,4.398833390E2,-9.017107835E-2
7.716124135E0,4.399245858E2,-5.828459629E-2
7.766125176E0,4.399696460E2,-2.345701116E-2
7.816126218E0,4.400014478E2,1.118738299E-3
7.866127260E0,4.398874821E2,-8.696791450E-2
7.916128302E0,4.401803658E2,1.393164353E-1
7.966129343E0,4.398731870E2,-9.802013916E-2
8.016130385E0,4.398990791E2,-7.800218873E-2
8.066131427E0,4.400415342E2,3.209157220E-2
8.116132468E0,4.400809537E2,6.254364807E-2
8.166133510E0,4.400078443E2,6.061392011E-3
8.212093735E0,4.399462871E2,-4.151048890E-2
8.262094777E0,4.400469278E2,3.625852760E-2
8.312095818E0,4.399011496E2,-7.640157862E-2
8.362096860E0,4.399634450E2,-2.824940748E-2
8.412097902E0,4.401203995E2,9.301056417E-2
8.462098943E0,4.398203961E2,-1.388414889E-1
8.512099985E0,4.399541608E2,-3.542488633E-2
8.562101027E0,4.399645009E2,-2.743333759E-2
8.612102069E0,4.399743221E2,-1.984313437E-2
8.662103110E0,4.400309747E2,2.393327588E-2
8.712104152E0,4.399359284E2,-4.951705942E-2
8.762105194E0,4.400051507E2,3.980017126E-3
8.812106235E0,4.400893923E2,6.906185838E-2
8.862107277E0,4.397581268E2,-1.870048449E-1
8.915992972E0,4.398864598E2,-8.775823104E-2
8.965994014E0,4.399299079E2,-5.417067579E-2
9.015995055E0,4.398642923E2,-1.048974070E-1
9.065996097E0,4.398875152E2,-8.694230138E-2
9.115997139E0,4.398532906E2,-1.134041711E-1
9.165998180E0,4.399071281E2,-7.177980611E-2
9.215999222E0,4.400245377E2,1.895992327E-2
9.266000264E0,4.397580381E2,-1.870734595E-1
9.316001306E0,4.399704562E2,-2.283086066E-2
9.366002347E0,4.398155240E2,-1.426094534E-1
9.416003389E0,4.397434154E2,-1.983856374E-1
9.466004431E0,4.399524502E2,-3.674699200E-2
9.516005472E0,4.398876735E2,-8.681994519E-2
9.566006514E0,4.399787614E2,-1.641244663E-2
9.609090072E0,4.397981081E2,-1.560789969E-1
9.659091114E0,4.399479133E2,-4.025354132E-2
9.709092155E0,4.400645180E2,4.984752364E-2
9.759093197E0,4.398418439E2,-1.222554538E-1
9.809094239E0,4.399228990E2,-5.958845266E-2
9.859095280E0,4.397193188E2,-2.170284574E-1
9.909096322E0,4.398295730E2,-1.317446559E-1
9.959097364E0,4.399733181E2,-2.061911162E-2
1.000909841E1,4.397919764E2,-1.608215402E-1
1.005909945E1,4.398947549E2,-8.134519577E-2
1.010910049E1,4.397045467E2,-2.284582157E-1
1.015910153E1,4.398086266E2,-1.479437929E-1
1.020910257E1,4.398995936E2,-7.760447153E-2
1.025910361E1,4.397382459E2,-2.023849195E-1
