"Time (s)","Frequency (Hz)","Speed (m/s)"
8.092707570E-1,4.398940766E2,-8.186959478E-2
8.592717987E-1,4.398433189E2,-1.211149197E-1
9.092728404E-1,4.399827843E2,-1.330353650E-2
9.592738821E-1,4.396081228E2,-3.030841470E-1
1.009274924E0,4.397670405E2,-1.801094864E-1
1.059275965E0,4.398882891E2,-8.634396482E-2
1.109277007E0,4.397664371E2,-1.805762975E-1
1.159278049E0,4.398560562E2,-1.112657007E-1
1.209279091E0,4.398324873E2,-1.294909525E-1
1.259280132E0,4.397165602E2,-2.191628097E-1
1.309281174E0,4.398463882E2,-1.187414520E-1
1.359282216E0,4.398240789E2,-1.359933755E-1
1.517331765E0,4.398708692E2,-9.981217487E-2
1.567332807E0,4.399376296E2,-4.820212369E-2
1.617333848E0,4.397842951E2,-1.667627951E-1
1.667334890E0,4.398965265E2,-7.997558444E-2
1.717335932E0,4.398380568E2,-1.251839711E-1
1.767336973E0,4.398395007E2,-1.240674595E-1
1.817338015E0,4.396718453E2,-2.537633741E-1
1.867339057E0,4.398939255E2,-8.198645200E-2
1.917340099E0,4.397756709E2,-1.734336129E-1
1.967341140E0,4.398264438E2,-1.341645260E-1
2.017342182E0,4.397996585E2,-1.548798396E-1
2.067343224E0,4.398312181E2,-1.304723894E-1
2.117344265E0,4.397332355E2,-2.062612747E-1
2.167345307E0,4.398818022E2,-9.135923425E-2
2.217470273E0,4.398311544E2,-1.305216802E-1
2.267471315E0,4.398242970E2,-1.358247312E-1
2.317472356E0,4.397646823E2,-1.819336767E-1
2.367473398E0,4.399454102E2,-4.218826485E-2
2.417474440E0,4.396955638E2,-2.354090575E-1
2.467475481E0,4.398195046E2,-1.395309694E-1
2.517476523E0,4.399070699E2,-7.182477638E-2
2.567477565E0,4.398654750E2,-1.039829123E-1
2.617478607E0,4.398186907E2,-1.401604124E-1
2.667479648E0,4.398182812E2,-1.404770999E-1
2.717480690E0,4.400200906E2,1.552380984E-2
2.767481732E0,4.398082519E2,-1.482336153E-1
2.817482773E0,4.398564362E2,-1.109718670E-1
2.867483815E0,4.398155849E2,-1.425623375E-1
2.914310082E0,4.398979468E2,-7.887760698E-2
2.964311124E0,4.398669608E2,-1.028341198E-1
3.014312165E0,4.398199304E2,-1.392016612E-1
