"Time (s)","Frequency (Hz)","Speed (m/s)"
8.094322170E-1,4.400594245E2,4.591274817E-2
8.594332587E-1,4.399687070E2,-2.418266170E-2
9.094343004E-1,4.399657761E2,-2.644781891E-2
9.594353421E-1,4.394990896E2,-3.875082944E-1
1.009436384E0,4.398320415E2,-1.298357088E-1
1.059437425E0,4.399406020E2,-4.590465347E-2
1.109438467E0,4.398841567E2,-8.953881942E-2
1.159439509E0,4.398755280E2,-9.621010933E-2
1.209440551E0,4.398726628E2,-9.842537464E-2
1.259441592E0,4.398847861E2,-8.905226593E-2
1.309442634E0,4.399791569E2,-1.610679547E-2
1.359443676E0,4.398531009E2,-1.135508215E-1
1.504440150E0,4.400131606E2,1.016924773E-2
1.554441192E0,4.398760858E2,-9.577889308E-2
1.604442233E0,4.399195258E2,-6.219597310E-2
1.654443275E0,4.399213596E2,-6.077843702E-2
1.704444317E0,4.398770452E2,-9.503709315E-2
1.754445358E0,4.399492280E2,-3.923740605E-2
1.804446400E0,4.399097587E2,-6.974623424E-2
1.854447442E0,4.399107914E2,-6.894791341E-2
1.904448484E0,4.398210250E2,-1.383551104E-1
1.954449525E0,4.399111020E2,-6.870781897E-2
2.004450567E0,4.399650085E2,-2.704101493E-2
2.054451609E0,4.399496962E2,-3.887554053E-2
2.104452650E0,4.399137333E2,-6.667368527E-2
2.154453692E0,4.398714655E2,-9.935111697E-2
2.106932867E0,4.398969895E2,-7.961766115E-2
2.156933909E0,4.398775427E2,-9.465241706E-2
2.206934950E0,4.399667096E2,-2.572634482E-2
2.256935992E0,4.399687104E2,-2.418003359E-2
2.306937034E0,4.399450469E2,-4.246905653E-2
2.356938075E0,4.398654844E2,-1.039756750E-1
2.406939117E0,4.398494423E2,-1.163798742E-1
2.456940159E0,4.399019337E2,-7.579537815E-2
2.506941201E0,4.399269233E2,-5.647775204E-2
2.556942242E0,4.398563211E2,-1.110608742E-1
2.606943284E0,4.399339065E2,-5.107995165E-2
2.656944326E0,4.399008215E2,-7.665520637E-2
2.706188447E0,4.398598869E2,-1.083037191E-1
2.756189489E0,4.399065075E2,-7.225953007E-2
2.806190530E0,4.399307255E2,-5.353873585E-2
2.856191572E0,4.399178001E2,-6.352994436E-2
2.906192614E0,4.398849985E2,-8.888801508E-2
2.956193655E0,4.399494588E2,-3.905902092E-2
3.006194697E0,4.398824539E2,-9.085537905E-2
3.056195739E0,4.398915641E2,-8.381207053E-2
3.106196781E0,4.399791273E2,-1.612965043E-2
3.156197822E0,4.397800103E2,-1.700770625E-1
3.206198864E0,4.398652127E2,-1.041857316E-1
3.256199906E0,4.399587206E2,-3.190071578E-2
3.309382882E0,4.399228552E2,-5.962234156E-2
3.359383924E0,4.398608589E2,-1.075521652E-1
