"Time (s)","Frequency (Hz)","Speed (m/s)"
6.282215210E-1,NaN,NaN
6.782225627E-1,4.396872773E2,-2.418212636E-1
7.282236044E-1,4.397150547E2,-2.203276910E-1
7.782246461E-1,4.394255289E2,-4.444898443E-1
8.282256878E-1,4.397522505E2,-1.915506237E-1
8.782267294E-1,4.398924759E2,-8.310710857E-2
9.282277711E-1,4.399384439E2,-4.757272004E-2
9.782288128E-1,4.399673095E2,-2.526271625E-2
8.010902880E-1,NaN,NaN
8.510913297E-1,NaN,NaN
1.397839202E0,4.399985738E2,-1.102049672E-3
1.447840244E0,4.398986950E2,-7.829914432E-2
1.497841285E0,4.398817972E2,-9.136308046E-2
1.547842327E0,4.399801977E2,-1.530248579E-2
1.597843369E0,4.396312662E2,-2.851696491E-1
1.647844410E0,4.399388299E2,-4.727435353E-2
1.697845452E0,4.398755846E2,-9.616634818E-2
1.747846494E0,4.398260691E2,-1.344543296E-1
1.797847536E0,4.399258376E2,-5.731697130E-2
1.847848577E0,4.398910665E2,-8.419671687E-2
1.897849619E0,4.398679333E2,-1.020822003E-1
1.947850661E0,4.398419481E2,-1.221748891E-1
1.997885668E0,4.399004452E2,-7.694615130E-2
2.047886710E0,4.398545741E2,-1.124117468E-1
2.097887751E0,4.399137495E2,-6.666115780E-2
2.147888793E0,4.398771202E2,-9.497911998E-2
2.197889835E0,4.398644831E2,-1.047499005E-1
2.247890876E0,4.398970857E2,-7.954326368E-2
2.297891918E0,4.399195245E2,-6.219696694E-2
2.347892960E0,4.399202571E2,-6.163065392E-2
2.397894002E0,4.398822727E2,-9.099547596E-2
2.447895043E0,4.399343243E2,-5.075699422E-2
2.497896085E0,4.398487988E2,-1.168774258E-1
2.547897127E0,4.398954460E2,-8.081095144E-2
2.602900207E0,4.398596532E2,-1.084844127E-1
2.652901249E0,4.398995278E2,-7.765533699E-2
2.702902290E0,4.399006299E2,-7.680333291E-2
2.752903332E0,4.398232375E2,-1.366440637E-1
2.802904374E0,4.399023842E2,-7.544713142E-2
2.852905415E0,4.398823846E2,-9.090894660E-2
2.902906457E0,4.398724117E2,-9.861955989E-2
2.952907499E0,4.398930061E2,-8.269719682E-2
3.002908541E0,4.398372554E2,-1.258037068E-1
3.052909582E0,4.398519850E2,-1.144137110E-1
3.102910624E0,4.398913038E2,-8.401323481E-2
3.152911666E0,4.398649415E2,-1.043954064E-1
3.298719964E0,4.399844258E2,-1.203506186E-2
3.348721006E0,4.399043018E2,-7.396471675E-2
3.398722047E0,4.399401045E2,-4.628917754E-2
3.448723089E0,4.398662706E2,-1.033677921E-1
3.498724131E0,4.398601757E2,-1.080803730E-1
3.548725172E0,4.399355113E2,-4.983944963E-2
3.598726214E0,4.399288351E2,-5.499997656E-2
3.648727256E0,4.399397008E2,-4.660124940E-2
3.698728298E0,4.399415009E2,-4.520987659E-2
3.748729339E0,4.398751552E2,-9.649833709E-2
3.798730381E0,4.400089370E2,6.905726616E-3
3.848731423E0,4.399481722E2,-4.005350877E-2
3.898732464E0,4.399867835E2,-1.021309222E-2
3.948733506E0,4.399717619E2,-2.182173232E-2
3.898779867E0,4.399706245E2,-2.270076732E-2
3.948780909E0,4.399989850E2,-7.843315256E-4
3.998781950E0,4.399990593E2,-7.269404715E-4
4.048782992E0,4.399452857E2,-4.228445186E-2
4.098784034E0,4.399169126E2,-6.421605548E-2
4.148785075E0,4.399034069E2,-7.465650827E-2
4.198786117E0,4.399541324E2,-3.544687248E-2
4.248787159E0,4.399528407E2,-3.644518875E-2
4.298788201E0,4.399060176E2,-7.263829759E-2
4.348789242E0,4.400340830E2,2.633484179E-2
4.398790284E0,4.400224956E2,1.738204150E-2
4.448791326E0,4.399982156E2,-1.378848816E-3
4.502775240E0,4.400206523E2,1.595787216E-2
4.552776282E0,4.399587576E2,-3.187213976E-2
4.602777323E0,4.400934723E2,7.221325128E-2
4.652778365E0,4.400308576E2,2.384285425E-2
4.702779407E0,4.400735247E2,5.680508126E-2
4.752780448E0,4.399899509E2,-7.765364125E-3
4.802781490E0,4.399360981E2,-4.938589811E-2
4.852782532E0,4.400264409E2,2.043040507E-2
4.902783574E0,4.400465241E2,3.594664579E-2
4.952784615E0,4.401353776E2,1.045777646E-1
5.002785657E0,4.401017960E2,7.864238416E-2
5.052786699E0,4.400746711E2,5.769058840E-2
5.113755874E0,4.399362789E2,-4.924612664E-2
5.163756916E0,4.400355543E2,2.747156830E-2
5.213757957E0,4.401171981E2,9.053808582E-2
5.263758999E0,4.401158816E2,8.952129739E-2
5.313760041E0,4.400281532E2,2.175338982E-2
5.363761082E0,4.400372883E2,2.881122167E-2
5.413762124E0,4.400441728E2,3.413009057E-2
5.463763166E0,4.399651019E2,-2.696881581E-2
5.513764208E0,4.399983353E2,-1.286378187E-3
5.563765249E0,4.400699141E2,5.401591245E-2
5.613766291E0,4.401422673E2,1.098983205E-1
5.663767333E0,4.401627549E2,1.257186258E-1
5.711947288E0,4.403289511E2,2.539996307E-1
5.761948330E0,4.402174499E2,1.679464319E-1
5.811949371E0,4.400849008E2,6.559247265E-2
5.861950413E0,4.400985362E2,7.612457847E-2
5.911951455E0,4.400531656E2,4.107754945E-2
5.961952496E0,4.400181119E2,1.399501966E-2
6.011953538E0,4.402441803E2,1.885800916E-1
6.061954580E0,4.401670741E2,1.290536819E-1
6.111955622E0,4.402520708E2,1.946704735E-1
6.161956663E0,4.400703307E2,5.433775031E-2
6.211957705E0,4.397235345E2,-2.137667258E-1
6.261958747E0,4.393034781E2,-5.390747974E-1
6.310153181E0,4.387377860E2,-9.781531458E-1
6.360154223E0,4.386605515E2,-1.038188853E0
6.410155264E0,4.385073306E2,-1.157352621E0
6.460156306E0,4.382350078E2,-1.369350560E0
6.510157348E0,4.383956377E2,-1.244271458E0
6.560158389E0,4.377668019E2,-1.734456242E0
6.610159431E0,4.382934123E2,-1.323861570E0
6.660160473E0,4.374135831E2,-2.010412526E0
6.710161515E0,4.377420247E2,-1.753799211E0
6.760162556E0,4.393740345E2,-4.843897512E-1
6.810163598E0,4.385861786E2,-1.096020131E0
6.860164640E0,4.396241701E2,-2.906622692E-1
7.004115646E0,4.388750628E2,-8.714977671E-1
7.054116688E0,4.390911131E2,-7.037754604E-1
7.104117729E0,4.395363558E2,-3.586484140E-1
7.154118771E0,4.398657551E2,-1.037663798E-1
7.204119813E0,4.400005468E2,4.225581572E-4
7.254120854E0,4.401674171E2,1.293185367E-1
7.304121896E0,4.404392788E2,3.391041285E-1
7.354122938E0,4.406934865E2,5.350326597E-1
7.404123980E0,4.407892967E2,6.088189887E-1
7.454125021E0,4.406627997E2,5.113930818E-1
7.504126063E0,4.408304997E2,6.405407113E-1
7.554127105E0,4.419347699E2,1.488504203E0
7.604128146E0,4.429118582E2,2.235279474E0
7.654129188E0,4.420128306E2,1.548286275E0
7.612903883E0,4.419320905E2,1.486451870E0
7.662904925E0,4.418321947E2,1.409915784E0
7.712905966E0,4.423350609E2,1.794840066E0
7.762907008E0,4.415321093E2,1.179794497E0
7.812908050E0,4.413729704E2,1.057631470E0
7.862909091E0,4.408690465E2,6.702121618E-1
7.912910133E0,4.407670148E2,5.916618632E-1
7.962911175E0,4.406223735E2,4.802456802E-1
8.012912217E0,4.405404649E2,4.171196392E-1
