"Time (s)","Frequency (Hz)","Speed (m/s)"
7.993782050E-1,4.399973010E2,-2.085586885E-3
8.493792467E-1,4.401829065E2,1.412780918E-1
8.993802884E-1,4.400399385E2,3.085874868E-2
9.493813301E-1,4.399805752E2,-1.501072058E-2
9.993823718E-1,4.400602507E2,4.655094809E-2
1.049383413E0,4.399997297E2,-2.088473753E-4
1.099384455E0,4.398626331E2,-1.061802961E-1
1.149385497E0,4.399871591E2,-9.922797799E-3
1.199386539E0,4.400027546E2,2.128579234E-3
1.249387580E0,4.400726881E2,5.615877885E-2
1.299388622E0,4.399952624E2,-3.660921803E-3
1.349389664E0,4.400635196E2,4.907625432E-2
1.496794993E0,4.401001419E2,7.736475151E-2
1.546796035E0,4.399974435E2,-1.975504363E-3
1.596797076E0,4.399566486E2,-3.350214341E-2
1.646798118E0,4.399559187E2,-3.406622351E-2
1.696799160E0,4.399415586E2,-4.516524321E-2
1.746800201E0,4.400066103E2,5.107920857E-3
1.796801243E0,4.401267539E2,9.791795769E-2
1.846802285E0,4.400767343E2,5.928433912E-2
1.896803327E0,4.400254232E2,1.964406977E-2
1.946804368E0,4.399874743E2,-9.679210759E-3
1.996805410E0,4.400194271E2,1.501120139E-2
2.046806452E0,4.399897711E2,-7.904338936E-3
2.096807493E0,4.400215101E2,1.662064057E-2
2.146808535E0,4.401354622E2,1.046430986E-1
2.202193240E0,4.400556078E2,4.296421920E-2
2.252194282E0,4.400437346E2,3.379152826E-2
2.302195323E0,4.400432604E2,3.342521447E-2
2.352196365E0,4.399860249E2,-1.079930497E-2
2.402197407E0,4.400149612E2,1.156050163E-2
2.452198448E0,4.400141366E2,1.092338476E-2
2.502199490E0,4.399604233E2,-3.058477154E-2
2.552200532E0,4.399868132E2,-1.019007633E-2
2.602201574E0,4.400966957E2,7.470295476E-2
2.652202615E0,4.399997253E2,-2.123030191E-4
2.702203657E0,4.400550072E2,4.250028612E-2
2.752204699E0,4.400570235E2,4.405793163E-2
2.802205740E0,4.400872400E2,6.739932741E-2
2.852206782E0,4.400795708E2,6.147543820E-2
2.893382580E0,4.399820943E2,-1.383676361E-2
2.943383622E0,4.399199226E2,-6.188921905E-2
2.993384663E0,4.399780100E2,-1.699310869E-2
3.043385705E0,4.400227548E2,1.758235659E-2
3.093386747E0,4.399505007E2,-3.825379350E-2
3.143387788E0,4.399741738E2,-1.995779827E-2
3.193388830E0,4.400015110E2,1.167574768E-3
3.243389872E0,4.399905503E2,-7.302198199E-3
3.293390914E0,4.399752941E2,-1.909196491E-2
3.343391955E0,4.399892107E2,-8.337425510E-3
3.393392997E0,4.399433300E2,-4.379608678E-2
3.443394039E0,4.400451891E2,3.491522573E-2
3.493395080E0,4.400206079E2,1.592356331E-2
3.543396122E0,4.399233707E2,-5.922384312E-2
3.492736807E0,4.399678837E2,-2.481897238E-2
3.542737849E0,4.399931390E2,-5.301734393E-3
3.592738890E0,4.400651750E2,5.035503743E-2
3.642739932E0,4.400271842E2,2.100465075E-2
3.692740974E0,4.400460156E2,3.555379226E-2
3.742742015E0,4.400024228E2,1.872161635E-3
3.792743057E0,4.401045332E2,8.075643516E-2
3.842744099E0,4.400212612E2,1.642830002E-2
3.892745141E0,4.399482129E2,-4.002199076E-2
3.942746182E0,4.399820224E2,-1.389235017E-2
3.992747224E0,4.399608675E2,-3.024143592E-2
4.042748266E0,4.399891465E2,-8.387025031E-3
4.195905627E0,4.400059764E2,4.618089829E-3
4.245906669E0,4.399842835E2,-1.214498647E-2
4.295907710E0,4.400245753E2,1.898891490E-2
4.345908752E0,4.399797296E2,-1.566422049E-2
4.395909794E0,4.399752788E2,-1.910378641E-2
4.445910835E0,4.400230027E2,1.777391948E-2
4.495911877E0,4.400171731E2,1.326962498E-2
4.545912919E0,4.400502185E2,3.880081366E-2
4.595913961E0,4.399425535E2,-4.439626490E-2
4.645915002E0,4.399868128E2,-1.019043053E-2
4.695916044E0,4.399596112E2,-3.121237008E-2
4.745917086E0,4.399839555E2,-1.239849399E-2
4.795918127E0,4.399703160E2,-2.293918200E-2
4.845919169E0,4.399805668E2,-1.501719280E-2
4.901294655E0,4.399949473E2,-3.904382836E-3
4.951295697E0,4.399745167E2,-1.969275492E-2
5.001296738E0,4.400398005E2,3.075218448E-2
5.051297780E0,4.399766711E2,-1.802780536E-2
5.101298822E0,4.399593531E2,-3.141184864E-2
5.151299863E0,4.398968357E2,-7.973659141E-2
5.201300905E0,4.399932454E2,-5.219552524E-3
5.251301947E0,4.400057993E2,4.481232181E-3
5.301302989E0,4.399824455E2,-1.356540490E-2
5.351304030E0,4.399716847E2,-2.188143340E-2
5.401305072E0,4.400139815E2,1.080352371E-2
5.451306114E0,4.399859129E2,-1.088579855E-2
5.501307155E0,4.399893643E2,-8.218714555E-3
5.551308197E0,4.399605053E2,-3.052138604E-2
5.597923527E0,4.399934368E2,-5.071608039E-3
5.647924569E0,4.400149746E2,1.157086087E-2
5.697925610E0,4.399841772E2,-1.222716621E-2
5.747926652E0,4.400314224E2,2.427920848E-2
5.797927694E0,4.399684169E2,-2.440688213E-2
5.847928735E0,4.399924625E2,-5.824558786E-3
5.897929777E0,4.400189580E2,1.464873946E-2
5.947930819E0,4.400814807E2,6.295070625E-2
5.997931861E0,4.400237027E2,1.831476248E-2
6.047932902E0,4.399637634E2,-2.800329049E-2
6.097933944E0,4.400182435E2,1.409665810E-2
6.147934986E0,4.399674085E2,-2.518618502E-2
6.197936027E0,4.399778585E2,-1.711020227E-2
6.247937069E0,4.399607521E2,-3.033059962E-2
6.301814274E0,4.399044129E2,-7.387881390E-2
6.351815316E0,4.399565678E2,-3.356456995E-2
6.401816357E0,4.399535983E2,-3.585963813E-2
6.451817399E0,4.399899556E2,-7.761750957E-3
6.501818441E0,4.400595851E2,4.603681486E-2
