"Time (s)","Frequency (Hz)","Speed (m/s)"
7.966226840E-1,4.400286486E2,2.213608951E-2
8.466237257E-1,4.400659694E2,5.096871471E-2
8.966247674E-1,4.400655616E2,5.065369256E-2
9.466258091E-1,4.401335682E2,1.031804383E-1
9.966268508E-1,4.390677609E2,-7.218960759E-1
1.046627892E0,4.397541225E2,-1.901024982E-1
1.096628934E0,4.398459068E2,-1.191137024E-1
1.146629976E0,4.398185388E2,-1.402778944E-1
1.196631018E0,4.399001863E2,-7.714624752E-2
1.246632059E0,4.398450950E2,-1.197414755E-1
1.296633101E0,4.401379235E2,1.065438692E-1
1.346634143E0,4.398325466E2,-1.294450979E-1
1.403433786E0,4.399554135E2,-3.445670773E-2
1.453434828E0,4.398270648E2,-1.336843206E-1
1.503435869E0,4.400059968E2,4.633798795E-3
1.553436911E0,4.397052256E2,-2.279329208E-1
1.603437953E0,4.398573097E2,-1.102964903E-1
1.653438994E0,4.398833569E2,-9.015720823E-2
1.703440036E0,4.397138614E2,-2.212510166E-1
1.753441078E0,4.399485680E2,-3.974755583E-2
1.803442120E0,4.398731120E2,-9.807812149E-2
1.853443161E0,4.399091281E2,-7.023373141E-2
1.903444203E0,4.400573049E2,4.427529719E-2
1.953445245E0,4.398988588E2,-7.817254334E-2
2.096448803E0,4.398839235E2,-8.971913535E-2
2.146449845E0,4.398967360E2,-7.981364601E-2
2.196450886E0,4.399176571E2,-6.364048326E-2
2.246451928E0,4.401497759E2,1.156965216E-1
2.296452970E0,4.401766837E2,1.364735250E-1
2.346454011E0,4.404724974E2,3.647199684E-1
2.396455053E0,4.397701154E2,-1.777309833E-1
2.446456095E0,4.398428574E2,-1.214717879E-1
2.496457137E0,4.399014849E2,-7.614238833E-2
2.546458178E0,4.400584496E2,4.515960839E-2
2.596459220E0,4.398996961E2,-7.752522455E-2
2.646460262E0,4.401335510E2,1.031671984E-1
2.696461303E0,4.400105420E2,8.145889740E-3
2.746462345E0,4.400185047E2,1.429845027E-2
2.697294488E0,4.400575455E2,4.446115442E-2
2.747295530E0,4.399705933E2,-2.272489320E-2
2.797296571E0,4.401857652E2,1.434852218E-1
2.847297613E0,4.400977404E2,7.550987033E-2
2.897298655E0,4.401378525E2,1.064890003E-1
2.947299696E0,4.399415536E2,-4.516909032E-2
2.997300738E0,4.400433772E2,3.351547176E-2
3.047301780E0,4.400404905E2,3.128523594E-2
3.097302822E0,4.398170394E2,-1.414374797E-1
3.147303863E0,4.398370548E2,-1.259588483E-1
3.197304905E0,4.401593257E2,1.230707392E-1
3.247305947E0,4.399810969E2,-1.460754126E-2
3.310952049E0,4.401434195E2,1.107880223E-1
3.360953091E0,4.399564040E2,-3.369113072E-2
3.410954132E0,4.398368325E2,-1.261307266E-1
3.460955174E0,4.400834411E2,6.446498007E-2
3.510956216E0,4.401060207E2,8.190538754E-2
3.560957257E0,4.401990935E2,1.537754284E-1
3.610958299E0,4.399888741E2,-8.597466402E-3
3.660959341E0,4.401415104E2,1.093137895E-1
3.710960383E0,4.400941571E2,7.274215706E-2
3.760961424E0,4.400271453E2,2.097464191E-2
3.810962466E0,4.400898260E2,6.939687013E-2
3.860963508E0,4.398658137E2,-1.037210606E-1
4.003429618E0,4.401106769E2,8.550157045E-2
4.053430660E0,4.400669719E2,5.174311382E-2
4.103431701E0,4.400819113E2,6.328330892E-2
4.153432743E0,4.401298804E2,1.003325060E-1
4.203433785E0,4.399735223E2,-2.046127778E-2
4.253434826E0,4.399481606E2,-4.006240903E-2
4.303435868E0,4.401508865E2,1.165541600E-1
4.353436910E0,4.400473068E2,3.655130893E-2
4.403437952E0,4.401635366E2,1.263222403E-1
4.453438993E0,4.401892139E2,1.461478996E-1
4.503440035E0,4.402622510E2,2.025277555E-1
4.553441077E0,4.402869597E2,2.215970763E-1
4.603442118E0,4.400592695E2,4.579297960E-2
4.653443160E0,4.399843409E2,-1.210066225E-2
4.610980564E0,4.396948912E2,-2.359294823E-1
4.660981606E0,4.395659266E2,-3.357515923E-1
4.710982647E0,4.397318392E2,-2.073415484E-1
4.760983689E0,4.393186148E2,-5.273416023E-1
4.810984731E0,4.390136661E2,-7.638794586E-1
4.860985772E0,4.386992629E2,-1.008095163E0
4.910986814E0,4.388698011E2,-8.755845496E-1
4.960987856E0,4.387778418E2,-9.470254764E-1
5.010988898E0,4.391753568E2,-6.384208039E-1
5.060989939E0,4.391150573E2,-6.851974658E-1
5.110990981E0,4.386709899E2,-1.030073650E0
5.160992023E0,4.384721956E2,-1.184689720E0
5.209151821E0,4.384607261E2,-1.193614641E0
5.259152863E0,4.393508095E2,-5.023884257E-1
5.309153904E0,4.394308571E2,-4.403618398E-1
5.359154946E0,4.391546494E2,-6.544828753E-1
5.409155988E0,4.392614658E2,-5.716449816E-1
5.459157029E0,4.397584558E2,-1.867503442E-1
5.509158071E0,4.399496193E2,-3.893496955E-2
5.559159113E0,4.400161333E2,1.246618719E-2
5.609160155E0,4.402943082E2,2.272679421E-1
5.659161196E0,4.403106575E2,2.398841427E-1
5.709162238E0,4.404918222E2,3.796200669E-1
5.759163280E0,4.405355947E2,4.133654484E-1
5.808642454E0,4.406736711E2,5.197682447E-1
5.858643496E0,4.413297135E2,1.024410026E0
5.908644537E0,4.412746026E2,9.820752534E-1
5.958645579E0,4.412910070E2,9.946778165E-1
6.008646621E0,4.411216492E2,8.645250413E-1
6.058647662E0,4.409367702E2,7.223300035E-1
6.108648704E0,4.408793144E2,6.781150427E-1
6.158649746E0,4.407973509E2,6.150202761E-1
6.208650788E0,4.409276090E2,7.152808039E-1
6.258651829E0,4.405696100E2,4.395840974E-1
6.308652871E0,4.405777476E2,4.458559216E-1
6.358653913E0,4.404898171E2,3.780741894E-1
6.410026264E0,4.403865088E2,2.984038026E-1
6.460027306E0,4.402612413E2,2.017484889E-1
6.510028347E0,4.401866296E2,1.441526214E-1
6.560029389E0,4.399427489E2,-4.424522476E-2
6.610030431E0,4.398570070E2,-1.105304957E-1
6.660031472E0,4.396242619E2,-2.905911906E-1
6.710032514E0,4.396242931E2,-2.905670597E-1
6.760033556E0,4.394067528E2,-4.590372100E-1
6.810034598E0,4.390551247E2,-7.317022375E-1
6.860035639E0,4.388714607E2,-8.742955199E-1
6.910036681E0,4.385647815E2,-1.112661796E0
6.960037723E0,4.387072776E2,-1.001865324E0
7.006027573E0,4.389599661E2,-8.055666588E-1
7.056028615E0,4.390800171E2,-7.123853988E-1
7.106029656E0,4.390629296E2,-7.256452624E-1
7.156030698E0,4.384854057E2,-1.174410972E0
7.206031740E0,4.383235105E2,-1.300424017E0
7.256032781E0,4.394212810E2,-4.477808847E-1
7.306033823E0,4.394649615E2,-4.139421636E-1
7.356034865E0,4.392326121E2,-5.940175829E-1
7.406035907E0,4.395683497E2,-3.338754991E-1
7.456036948E0,4.399814397E2,-1.434269302E-2
7.506037990E0,4.400767548E2,5.930019118E-2
7.556039032E0,4.400736023E2,5.686497073E-2
7.607353206E0,4.400525610E2,4.061050532E-2
7.657354248E0,4.405849527E2,4.514087837E-1
7.707355289E0,4.406376857E2,4.920440156E-1
7.757356331E0,4.406441483E2,4.970233346E-1
7.807357373E0,4.413011033E2,1.002433772E0
7.857358414E0,4.413635251E2,1.050378004E0
7.907359456E0,4.411597098E2,8.937836122E-1
7.957360498E0,4.413154484E2,1.013452951E0
8.007361540E0,4.412450480E2,9.593678457E-1
8.057362581E0,4.410261952E2,7.911239480E-1
8.107363623E0,4.413198015E2,1.016796675E0
8.157364665E0,4.408761133E2,6.756513095E-1
8.302945567E0,4.407351922E2,5.671554082E-1
8.352946609E0,4.407362672E2,5.679833251E-1
8.402947650E0,4.404584018E2,3.538509149E-1
8.452948692E0,4.403356863E2,2.591962167E-1
8.502949734E0,4.402357691E2,1.820876056E-1
8.552950775E0,4.403174543E2,2.451287650E-1
8.602951817E0,4.403176109E2,2.452496026E-1
8.652952859E0,4.401705941E2,1.317716169E-1
8.702953901E0,4.399399682E2,-4.639452139E-2
8.752954942E0,4.396492098E2,-2.712814300E-1
8.802955984E0,4.395119405E2,-3.775556734E-1
8.852957026E0,4.393351287E2,-5.145417306E-1
8.902958067E0,4.390679312E2,-7.217639091E-1
8.952959109E0,4.390407189E2,-7.428822871E-1
8.911613857E0,4.385814132E2,-1.099726328E0
8.961614899E0,4.387519263E2,-9.671639467E-1
9.011615940E0,4.389875150E2,-7.841792676E-1
9.061616982E0,4.391797485E2,-6.350144783E-1
9.111618024E0,4.387907036E2,-9.370316412E-1
9.161619065E0,4.387313431E2,-9.831605611E-1
9.211620107E0,4.382866145E2,-1.329155492E0
9.261621149E0,4.393601267E2,-4.951676170E-1
9.311622191E0,4.394008503E2,-4.636106147E-1
9.361623232E0,4.393719429E2,-4.860105884E-1
9.411624274E0,4.394838873E2,-3.992827477E-1
9.461625316E0,4.394434039E2,-4.306417462E-1
9.611180593E0,4.401644447E2,1.270234226E-1
9.661181635E0,4.400012594E2,9.731374689E-4
9.711182676E0,4.402504134E2,1.933911914E-1
9.761183718E0,4.404733014E2,3.653399119E-1
9.811184760E0,4.404675653E2,3.609169519E-1
9.861185801E0,4.406308160E2,4.867508485E-1
9.911186843E0,4.411253733E2,8.673881225E-1
9.961187885E0,4.412303740E2,9.480923911E-1
1.001118893E1,4.412932358E2,9.963900196E-1
1.006118997E1,4.411473116E2,8.842532746E-1
1.011119101E1,4.408150882E2,6.286762882E-1
1.016119205E1,4.410461968E2,8.065071432E-1
1.021119309E1,4.412256189E2,9.444384147E-1
1.026119413E1,4.408466965E2,6.530088628E-1
1.031013124E1,4.407200601E2,5.555010103E-1
1.036013228E1,4.407228439E2,5.576450437E-1
1.041013332E1,4.403302483E2,2.550004645E-1
1.046013436E1,4.404371556E2,3.374667946E-1
1.051013540E1,4.404807356E2,3.710720646E-1
1.056013644E1,4.404699211E2,3.627334373E-1
1.061013749E1,4.403676211E2,2.838337331E-1
1.066013853E1,4.401735097E2,1.340227891E-1
1.071013957E1,4.399347713E2,-5.041144748E-2
1.076014061E1,4.396360621E2,-2.814575800E-1
1.081014165E1,4.395600119E2,-3.403311573E-1
1.086014269E1,4.392953808E2,-5.453518149E-1
1.091014374E1,4.389964839E2,-7.772168789E-1
1.096014478E1,4.389300437E2,-8.287997974E-1
1.090894942E1,4.387769003E2,-9.477570760E-1
1.095895046E1,4.385416514E2,-1.130653210E0
1.100895150E1,4.389712655E2,-7.967941142E-1
1.105895255E1,4.388335509E2,-9.037428717E-1
1.110895359E1,4.387120476E2,-9.981577245E-1
1.115895463E1,4.389961450E2,-7.774799610E-1
1.120895567E1,4.386786408E2,-1.024125848E0
1.125895671E1,4.389774469E2,-7.919952826E-1
1.130895775E1,4.393833291E2,-4.771872221E-1
1.135895880E1,4.394625357E2,-4.158212805E-1
1.140895984E1,4.395193123E2,-3.718466890E-1
1.145896088E1,4.397474857E2,-1.952367028E-1
1.160505194E1,4.399415201E2,-4.519502071E-2
1.165505298E1,4.401939302E2,1.497891372E-1
1.170505402E1,4.403890597E2,3.003714378E-1
1.175505506E1,4.405975508E2,4.611175327E-1
1.180505610E1,4.406182567E2,4.770734725E-1
1.185505715E1,4.406626569E2,5.112830529E-1
1.190505819E1,4.411795420E2,9.090273709E-1
1.195505923E1,4.410091381E2,7.780041967E-1
1.200506027E1,4.412903764E2,9.941933606E-1
1.205506131E1,4.411772967E2,9.073016004E-1
1.210506235E1,4.408260802E2,6.371384680E-1
1.215506340E1,4.408670784E2,6.686973509E-1
1.220506444E1,4.411613254E2,8.950255135E-1
1.225506548E1,4.408564765E2,6.605369867E-1
1.220687997E1,4.408968770E2,6.916315369E-1
1.225688101E1,4.406973826E2,5.380337646E-1
1.230688205E1,4.404554897E2,3.516053324E-1
1.235688309E1,4.405027586E2,3.880518688E-1
1.240688413E1,4.406258867E2,4.829527151E-1
1.245688518E1,4.406120575E2,4.722965252E-1
1.250688622E1,4.404978563E2,3.842723426E-1
1.255688726E1,4.402690064E2,2.077416023E-1
1.260688830E1,4.400406916E2,3.144061039E-2
1.265688934E1,4.398159453E2,-1.422836227E-1
1.270689038E1,4.395596989E2,-3.405734576E-1
1.275689143E1,4.394848630E2,-3.985269823E-1
1.290593535E1,4.391100311E2,-6.890970301E-1
1.295593639E1,4.388227609E2,-9.121252250E-1
1.300593743E1,4.386646457E2,-1.035005834E0
1.305593847E1,4.386899160E2,-1.015360813E0
1.310593952E1,4.387439938E2,-9.733286797E-1
1.315594056E1,4.388899942E2,-8.599010366E-1
1.320594160E1,4.389209483E2,-8.358625756E-1
1.325594264E1,4.387052725E2,-1.003423899E0
1.330594368E1,4.388177151E2,-9.160452270E-1
1.335594472E1,4.391148034E2,-6.853944427E-1
1.340594577E1,4.394616048E2,-4.165423363E-1
1.345594681E1,4.393830083E2,-4.774357971E-1
1.350594785E1,4.395006650E2,-3.862881223E-1
1.355594889E1,4.398594086E2,-1.086735704E-1
1.360823349E1,4.397000135E2,-2.319659151E-1
1.365823453E1,4.402326302E2,1.796647031E-1
1.370823558E1,4.403935825E2,3.038601109E-1
1.375823662E1,4.404027267E2,3.109133419E-1
1.380823766E1,4.405439792E2,4.198285143E-1
1.385823870E1,4.406990395E2,5.393100734E-1
1.390823974E1,4.409630979E2,7.425865829E-1
1.395824078E1,4.410090364E2,7.779259831E-1
1.400824183E1,4.386477798E2,-1.048118514E0
1.405824287E1,4.410172260E2,7.842252495E-1
1.410824391E1,4.408275444E2,6.382657029E-1
1.415824495E1,4.406923554E2,5.341613876E-1
1.420824599E1,4.411165689E2,8.606192496E-1
1.425824703E1,4.406796744E2,5.243929362E-1
