"Time (s)","Frequency (Hz)","Speed (m/s)"
8.136359660E-1,4.399578085E2,-3.260561488E-2
8.636370077E-1,4.400067579E2,5.221959532E-3
9.136380494E-1,4.399612389E2,-2.995438294E-2
9.636390911E-1,4.395039540E2,-3.837408830E-1
1.013640133E0,4.400011064E2,8.549542453E-4
1.063641174E0,4.397286407E2,-2.098161249E-1
1.113642216E0,4.398183339E2,-1.404363211E-1
1.163643258E0,4.399103400E2,-6.929683165E-2
1.213644300E0,4.398423415E2,-1.218706556E-1
1.263645341E0,4.399298041E2,-5.425092272E-2
1.313646383E0,4.399053638E2,-7.314367024E-2
1.363647425E0,4.399043603E2,-7.391943404E-2
1.408752640E0,4.399303402E2,-5.383656026E-2
1.458753682E0,4.399806027E2,-1.498950045E-2
1.508754723E0,4.399170207E2,-6.413245996E-2
1.558755765E0,4.399232578E2,-5.931115599E-2
1.608756807E0,4.399079493E2,-7.114493725E-2
1.658757848E0,4.399638350E2,-2.794797986E-2
1.708758890E0,4.399271269E2,-5.632039599E-2
1.758759932E0,4.398588036E2,-1.091413077E-1
1.808760974E0,4.398725279E2,-9.852968776E-2
1.858762015E0,4.399162324E2,-6.474183675E-2
1.908763057E0,4.399574709E2,-3.286659996E-2
1.958764099E0,4.399511826E2,-3.772675807E-2
2.006551866E0,4.398781793E2,-9.416026199E-2
2.056552908E0,4.400007661E2,5.919822056E-4
2.106553949E0,4.399399818E2,-4.638406241E-2
2.156554991E0,4.398654829E2,-1.039768073E-1
2.206556033E0,4.399216566E2,-6.054884257E-2
2.256557074E0,4.399256505E2,-5.746157715E-2
2.306558116E0,4.399722081E2,-2.147689390E-2
2.356559158E0,4.399657869E2,-2.643942648E-2
2.406560200E0,4.400095123E2,7.350275263E-3
2.456561241E0,4.400029869E2,2.308063444E-3
2.506562283E0,4.400050005E2,3.863988170E-3
2.556563325E0,4.399968943E2,-2.399873903E-3
2.611147760E0,4.399565411E2,-3.358521040E-2
2.661148802E0,4.400641816E2,4.958764722E-2
2.711149843E0,4.399321595E2,-5.243032522E-2
2.761150885E0,4.399473110E2,-4.071909359E-2
