"Time (s)","Frequency (Hz)","Speed (m/s)"
8.115627890E-1,4.398310919E2,-1.305700377E-1
8.615638307E-1,4.398440845E2,-1.205228416E-1
9.115648724E-1,4.398235120E2,-1.364318334E-1
9.615659141E-1,4.393868570E2,-4.744534404E-1
1.011566956E0,4.397907739E2,-1.617516643E-1
1.061567997E0,4.397727042E2,-1.757284763E-1
1.111569039E0,4.397976837E2,-1.564072609E-1
1.161570081E0,4.397530246E2,-1.909518217E-1
1.211571123E0,4.396951773E2,-2.357080859E-1
1.261572164E0,4.397410827E2,-2.001902718E-1
1.311573206E0,4.398129973E2,-1.445634976E-1
1.361574248E0,4.397173197E2,-2.185751744E-1
1.518117755E0,4.397773224E2,-1.721561418E-1
1.568118797E0,4.398325206E2,-1.294651603E-1
1.618119838E0,4.397599803E2,-1.855709736E-1
1.668120880E0,4.397744246E2,-1.743976961E-1
1.718121922E0,4.397823293E2,-1.682833633E-1
1.768122963E0,4.397391232E2,-2.017062315E-1
1.818124005E0,4.397153083E2,-2.201314662E-1
1.868125047E0,4.397591790E2,-1.861908434E-1
1.918126089E0,4.397289601E2,-2.095690063E-1
1.968127130E0,4.398211034E2,-1.382944931E-1
2.018128172E0,4.397477781E2,-1.950104909E-1
2.068129214E0,4.397290624E2,-2.094899034E-1
2.118130255E0,4.398036470E2,-1.517950562E-1
2.168131297E0,4.396812268E2,-2.465033190E-1
2.217059283E0,4.397639998E2,-1.824616532E-1
2.267060325E0,4.397435139E2,-1.983093732E-1
2.317061366E0,4.397617446E2,-1.842062006E-1
2.367062408E0,4.397587056E2,-1.865570738E-1
2.417063450E0,4.398216098E2,-1.379028477E-1
2.467064491E0,4.396677912E2,-2.569007945E-1
2.517065533E0,4.398217992E2,-1.377563856E-1
2.567066575E0,4.397441203E2,-1.978402843E-1
2.617067617E0,4.398164558E2,-1.418887784E-1
2.667068658E0,4.396940080E2,-2.366128754E-1
2.717069700E0,4.397871673E2,-1.645411877E-1
2.767070742E0,4.397920257E2,-1.607833777E-1
2.817071783E0,4.396870272E2,-2.420147889E-1
2.867072825E0,4.397384704E2,-2.022112833E-1
2.912885498E0,4.397804304E2,-1.697521165E-1
2.962886540E0,4.396927072E2,-2.376195004E-1
3.012887581E0,4.398232691E2,-1.366196634E-1
3.062888623E0,4.397717373E2,-1.764763404E-1
3.112889665E0,4.398179340E2,-1.407456401E-1
3.162890706E0,4.397419389E2,-1.995278819E-1
3.212891748E0,4.397729008E2,-1.755763984E-1
3.262892790E0,4.398456243E2,-1.193322064E-1
3.312893832E0,4.397951301E2,-1.583822759E-1
3.362894873E0,4.397780366E2,-1.716037302E-1
3.412895915E0,4.398161952E2,-1.420903560E-1
3.462896957E0,4.397600219E2,-1.855388338E-1
3.512897998E0,4.397677680E2,-1.795467909E-1
3.562899040E0,4.397836954E2,-1.672267077E-1
3.602290984E0,4.398109612E2,-1.461382312E-1
3.652292026E0,4.395925051E2,-3.151743318E-1
3.702293067E0,4.397116093E2,-2.229935067E-1
3.752294109E0,4.398541701E2,-1.127240649E-1
