"Time (s)","Frequency (Hz)","Speed (m/s)"
8.244207590E-1,4.399689092E2,-2.402639139E-2
8.744218007E-1,4.399250330E2,-5.793893164E-2
9.244228424E-1,4.399819998E2,-1.390981539E-2
9.744238841E-1,4.399892878E2,-8.277831671E-3
1.024424926E0,4.397859095E2,-1.655140666E-1
1.074425967E0,4.399092568E2,-7.013417581E-2
1.124427009E0,4.399451192E2,-4.241321820E-2
1.174428051E0,4.399188182E2,-6.274294123E-2
1.224429093E0,4.399060838E2,-7.258713622E-2
1.274430134E0,4.399352848E2,-5.001455508E-2
1.324431176E0,4.399137231E2,-6.668161342E-2
1.374432218E0,4.399641228E2,-2.772558347E-2
1.525441767E0,4.400098899E2,7.641998175E-3
1.575442809E0,4.399629369E2,-2.864204243E-2
1.625443850E0,4.399817643E2,-1.409183034E-2
1.675444892E0,4.399052717E2,-7.321490235E-2
1.725445934E0,4.399220917E2,-6.021249280E-2
1.775446975E0,4.399288479E2,-5.499005087E-2
1.825448017E0,4.400130396E2,1.007578371E-2
1.875449059E0,4.399395916E2,-4.668559804E-2
1.925450101E0,4.399394836E2,-4.676910991E-2
1.975451142E0,4.399146881E2,-6.593562398E-2
2.025452184E0,4.399823900E2,-1.360825902E-2
2.075453226E0,4.399565346E2,-3.359023266E-2
2.125454267E0,4.399327207E2,-5.199652169E-2
2.175455309E0,4.400153903E2,1.189209484E-2
2.219854596E0,4.399912358E2,-6.772471773E-3
2.269855638E0,4.399905485E2,-7.303603882E-3
2.319856679E0,4.399218941E2,-6.036524214E-2
2.369857721E0,4.399353244E2,-4.998394585E-2
2.419858763E0,4.399958991E2,-3.168943526E-3
2.469859804E0,4.399805461E2,-1.503319010E-2
2.519860846E0,4.399589421E2,-3.172948475E-2
2.569861888E0,4.400306421E2,2.367635552E-2
2.619862930E0,4.399914744E2,-6.588118697E-3
2.669863971E0,4.400082718E2,6.391688652E-3
2.719865013E0,4.399499305E2,-3.869445400E-2
2.769866055E0,4.399726558E2,-2.113090825E-2
2.819867096E0,4.399351016E2,-5.015613352E-2
2.869868138E0,4.400510130E2,3.941459640E-2
2.832788928E0,4.399148831E2,-6.578486728E-2
2.882789970E0,4.399821012E2,-1.383147965E-2
2.932791011E0,4.399806821E2,-1.492811664E-2
2.982792053E0,4.400138235E2,1.068148134E-2
3.032793095E0,4.400553539E2,4.276809247E-2
3.082794136E0,4.399733947E2,-2.055990332E-2
3.132795178E0,4.400556741E2,4.301541429E-2
3.182796220E0,4.399437559E2,-4.346689789E-2
3.232797262E0,4.400030784E2,2.378779089E-3
3.282798303E0,4.400763643E2,5.899856757E-2
3.332799345E0,4.400168898E2,1.305072924E-2
3.382800387E0,4.400166353E2,1.285404418E-2
3.513172485E0,4.399233051E2,-5.927454859E-2
3.563173527E0,4.399680380E2,-2.469968566E-2
3.613174568E0,4.400204928E2,1.583461342E-2
3.663175610E0,4.399606314E2,-3.042388897E-2
3.713176652E0,4.399899651E2,-7.754410111E-3
3.763177693E0,4.399660893E2,-2.620576374E-2
3.813178735E0,4.400659196E2,5.093025578E-2
3.863179777E0,4.399852092E2,-1.142963221E-2
3.913180819E0,4.399902324E2,-7.547855961E-3
3.963181860E0,4.399669362E2,-2.555119914E-2
4.013182902E0,4.399184463E2,-6.303043497E-2
4.063183944E0,4.400294312E2,2.274080112E-2
4.113184985E0,4.399486952E2,-3.964921073E-2
4.163186027E0,4.400673319E2,5.202120728E-2
4.111368847E0,4.400688242E2,5.317398605E-2
4.161369889E0,4.400284613E2,2.199141616E-2
4.211370930E0,4.399876667E2,-9.530551370E-3
4.261371972E0,4.400101075E2,7.810172379E-3
4.311373014E0,4.400410831E2,3.174303125E-2
4.361374055E0,4.400810592E2,6.262512605E-2
4.411375097E0,4.400553120E2,4.273572850E-2
4.461376139E0,4.399571256E2,-3.313342654E-2
4.511377181E0,4.400020856E2,1.611577468E-3
4.561378222E0,4.400348026E2,2.689080407E-2
4.611379264E0,4.399907519E2,-7.146410445E-3
4.661380306E0,4.400451836E2,3.491097671E-2
4.727794950E0,4.399277708E2,-5.582262952E-2
4.777795992E0,4.400803739E2,6.209577771E-2
4.827797033E0,4.400362054E2,2.797460744E-2
4.877798075E0,4.400039740E2,3.070824802E-3
4.927799117E0,4.400616468E2,4.762949977E-2
4.977800158E0,4.399771609E2,-1.764928642E-2
5.027801200E0,4.401011326E2,7.812999776E-2
5.077802242E0,4.400522968E2,4.040635348E-2
5.127803284E0,4.399917854E2,-6.347763988E-3
5.177804325E0,4.400226520E2,1.750293421E-2
5.227805367E0,4.399670603E2,-2.545530530E-2
5.277806409E0,4.400803510E2,6.207803847E-2
5.413421477E0,4.400363510E2,2.808712654E-2
5.463422519E0,4.400590885E2,4.565314844E-2
5.513423560E0,4.400620569E2,4.794633053E-2
5.563424602E0,4.400467413E2,3.611444385E-2
5.613425644E0,4.400376129E2,2.906203462E-2
5.663426685E0,4.400235455E2,1.819327296E-2
5.713427727E0,4.401079321E2,8.338164198E-2
5.763428769E0,4.399914423E2,-6.612859720E-3
5.813429811E0,4.400234120E2,1.809011106E-2
5.863430852E0,4.400627353E2,4.847037623E-2
5.913431894E0,4.399776130E2,-1.729990262E-2
5.963432936E0,4.401186495E2,9.165899487E-2
6.013433977E0,4.400600368E2,4.638574976E-2
6.063435019E0,4.401229311E2,9.496566383E-2
6.024817267E0,4.400717420E2,5.542798284E-2
6.074818309E0,4.400429629E2,3.319539190E-2
6.124819350E0,4.400565071E2,4.365897796E-2
6.174820392E0,4.400751519E2,5.806197085E-2
6.224821434E0,4.401155007E2,8.922713951E-2
6.274822475E0,4.400341454E2,2.638303741E-2
