"Time (s)","Frequency (Hz)","Speed (m/s)"
8.100186220E-1,4.400397207E2,3.069049516E-2
8.600196637E-1,4.400150778E2,1.165059483E-2
9.100207054E-1,4.400160448E2,1.239779499E-2
9.600217471E-1,4.399616412E2,-2.964348038E-2
1.010022789E0,4.398621455E2,-1.065572923E-1
1.060023830E0,4.399601909E2,-3.076438508E-2
1.110024872E0,4.399970749E2,-2.260315776E-3
1.160025914E0,4.399927964E2,-5.566519405E-3
1.210026956E0,4.399412045E2,-4.543893995E-2
1.260027997E0,4.399627910E2,-2.875480675E-2
1.310029039E0,4.399465639E2,-4.129652082E-2
1.360030081E0,4.399669823E2,-2.551562125E-2
1.511582390E0,4.399345701E2,-5.056695280E-2
1.561583432E0,4.399482157E2,-4.001983074E-2
1.611584473E0,4.399711136E2,-2.232279083E-2
1.661585515E0,4.399007556E2,-7.670611874E-2
1.711586557E0,4.399224528E2,-5.993336257E-2
1.761587598E0,4.399425575E2,-4.439321482E-2
1.811588640E0,4.399370608E2,-4.864179513E-2
1.861589682E0,4.399078518E2,-7.122037894E-2
1.911590724E0,4.399325053E2,-5.216296524E-2
1.961591765E0,4.399714734E2,-2.204474400E-2
2.011592807E0,4.399648219E2,-2.718527005E-2
2.061593849E0,4.399345089E2,-5.061428725E-2
2.111594890E0,4.399791747E2,-1.609306514E-2
2.161595932E0,4.399295575E2,-5.444152308E-2
2.200240688E0,4.399779485E2,-1.704068617E-2
2.250241730E0,4.399337591E2,-5.119384194E-2
2.300242771E0,4.399661771E2,-2.613785711E-2
2.350243813E0,4.399582720E2,-3.224745912E-2
2.400244855E0,4.399427693E2,-4.422948025E-2
2.450245896E0,4.399385803E2,-4.746727070E-2
2.500246938E0,4.399593809E2,-3.139041261E-2
2.550247980E0,4.399039098E2,-7.426775220E-2
2.600249022E0,4.399379615E2,-4.794558603E-2
2.650250063E0,4.399277962E2,-5.580300450E-2
2.700251105E0,4.399792369E2,-1.604494386E-2
2.750252147E0,4.399156013E2,-6.522970344E-2
2.800253188E0,4.399542206E2,-3.537866782E-2
2.850254230E0,4.399373379E2,-4.842761147E-2
2.809558144E0,4.398895744E2,-8.535026329E-2
2.859559186E0,4.399736859E2,-2.033482497E-2
2.909560227E0,4.399942360E2,-4.454065769E-3
2.959561269E0,4.399555418E2,-3.435756239E-2
3.009562311E0,4.399551845E2,-3.463369548E-2
3.059563352E0,4.399064748E2,-7.228484376E-2
3.109564394E0,4.399282762E2,-5.543200560E-2
3.159565436E0,4.399700341E2,-2.315706997E-2
3.209566478E0,4.399148782E2,-6.578866375E-2
3.259567519E0,4.399693989E2,-2.364797337E-2
3.309568561E0,4.399390895E2,-4.707369463E-2
3.359569603E0,4.399697172E2,-2.340195468E-2
3.410134298E0,4.399924650E2,-5.822583221E-3
3.460135340E0,4.400024818E2,1.917710826E-3
3.510136381E0,4.399185604E2,-6.294221736E-2
3.560137423E0,4.399194113E2,-6.228450824E-2
3.610138465E0,4.399447353E2,-4.270993809E-2
3.660139506E0,4.399182578E2,-6.317617508E-2
3.710140548E0,4.399339453E2,-5.104994658E-2
3.760141590E0,4.399776167E2,-1.729708643E-2
3.810142632E0,4.399166554E2,-6.441486107E-2
3.860143673E0,4.399160593E2,-6.487564347E-2
3.910144715E0,4.399078910E2,-7.119005768E-2
3.960145757E0,4.399208908E2,-6.114080455E-2
4.006415138E0,4.399337941E2,-5.116678679E-2
4.056416180E0,4.398940058E2,-8.192436313E-2
4.106417221E0,4.399060258E2,-7.263191800E-2
4.156418263E0,4.399629360E2,-2.864277010E-2
4.206419305E0,4.399580478E2,-3.242069488E-2
4.256420346E0,4.399582623E2,-3.225491034E-2
4.306421388E0,4.399008938E2,-7.659935219E-2
4.356422430E0,4.399192794E2,-6.238646017E-2
4.406423472E0,4.398973613E2,-7.933023070E-2
4.456424513E0,4.399113913E2,-6.848418664E-2
4.506425555E0,4.399394061E2,-4.682897913E-2
4.556426597E0,4.399108582E2,-6.889625437E-2
4.608290198E0,4.399446664E2,-4.276316017E-2
4.658291240E0,4.398843858E2,-8.936169301E-2
