"Time (s)","Frequency (Hz)","Speed (m/s)"
8.989404020E-1,4.402107899E2,1.628051055E-1
9.489414437E-1,4.402511678E2,1.939734464E-1
9.989424854E-1,4.402142828E2,1.655015644E-1
1.048943527E0,4.402908223E2,2.245779099E-1
1.098944569E0,4.397411923E2,-2.001054705E-1
1.148945610E0,4.401908162E2,1.473849877E-1
1.198946652E0,4.400983847E2,7.600754387E-2
1.248947694E0,4.400904961E2,6.991442681E-2
1.298948736E0,4.401409846E2,1.089077326E-1
1.348949777E0,4.400698527E2,5.396851761E-2
1.398950819E0,4.402008549E2,1.551352779E-1
1.448951861E0,4.401786909E2,1.380232957E-1
1.498952902E0,4.401944938E2,1.502242673E-1
1.548953944E0,4.401949765E2,1.505969367E-1
1.600488128E0,4.401565402E2,1.209198525E-1
1.650489170E0,4.400989419E2,7.643791445E-2
1.700490211E0,4.401807341E2,1.396008175E-1
1.750491253E0,4.401497739E2,1.156949762E-1
1.800492295E0,4.402456559E2,1.897190981E-1
1.850493336E0,4.402149702E2,1.660322058E-1
1.900494378E0,4.401927877E2,1.489070543E-1
1.950495420E0,4.402911645E2,2.248419597E-1
2.000496462E0,4.402441755E2,1.885763818E-1
2.050497503E0,4.402639096E2,2.038079031E-1
2.100498545E0,4.401696772E2,1.310636846E-1
2.150499587E0,4.402166220E2,1.673073456E-1
2.200500628E0,4.401866321E2,1.441545693E-1
2.250501670E0,4.402239167E2,1.729385037E-1
2.300552209E0,4.402330929E2,1.800218963E-1
2.350553251E0,4.402368657E2,1.829340755E-1
2.400554292E0,4.402320284E2,1.792002056E-1
2.450555334E0,4.401574802E2,1.216456884E-1
2.500556376E0,4.402234579E2,1.725843837E-1
2.550557417E0,4.402499267E2,1.930155179E-1
2.600558459E0,4.402513775E2,1.941353315E-1
2.650559501E0,4.403308727E2,2.554822679E-1
2.700560543E0,4.403566319E2,2.753560407E-1
2.750561584E0,4.403438413E2,2.654881051E-1
2.800562626E0,4.403164378E2,2.443443739E-1
2.850563668E0,4.402374183E2,1.833606484E-1
2.900564709E0,4.402812218E2,2.171689457E-1
2.950565751E0,4.401947725E2,1.504394042E-1
2.999415716E0,4.403396257E2,2.622356184E-1
3.049416758E0,4.402482151E2,1.916944022E-1
3.099417799E0,4.401536315E2,1.186738065E-1
3.149418841E0,4.402803942E2,2.165302650E-1
3.199419883E0,4.403330360E2,2.571513446E-1
3.249420924E0,4.402547096E2,1.967072038E-1
3.299421966E0,4.402818682E2,2.176677792E-1
3.349423008E0,4.402615775E2,2.020079613E-1
3.399424050E0,4.403065976E2,2.367513820E-1
3.449425091E0,4.402846354E2,2.198033487E-1
3.499426133E0,4.402980856E2,2.301829136E-1
3.549427175E0,4.403576574E2,2.761471347E-1
3.599428216E0,4.402768703E2,2.138107291E-1
3.649429258E0,4.403440999E2,2.656876084E-1
3.698977035E0,4.403360921E2,2.595093041E-1
3.748978077E0,4.403692918E2,2.851225670E-1
3.798979118E0,4.403409196E2,2.632339194E-1
3.848980160E0,4.402195644E2,1.695787497E-1
3.898981202E0,4.402943446E2,2.272960202E-1
3.948982243E0,4.402489988E2,1.922993653E-1
3.998983285E0,4.404257395E2,3.286625425E-1
4.048984327E0,4.403372817E2,2.604271450E-1
4.098985369E0,4.403785784E2,2.922863612E-1
4.148986410E0,4.403938993E2,3.041044845E-1
4.198987452E0,4.403316295E2,2.560661609E-1
4.248988494E0,4.403925596E2,3.030711241E-1
4.298989535E0,4.404185782E2,3.231393825E-1
4.348990577E0,4.404151950E2,3.205300485E-1
4.399099449E0,4.404241391E2,3.274282514E-1
4.449100491E0,4.404157239E2,3.209379502E-1
4.499101532E0,4.403752350E2,2.897072738E-1
4.549102574E0,4.403589818E2,2.771689241E-1
4.599103616E0,4.403155928E2,2.436923615E-1
4.649104657E0,4.403561007E2,2.749461843E-1
4.699105699E0,4.403154403E2,2.435746806E-1
4.749106741E0,4.403690739E2,2.849544769E-1
4.799107783E0,4.403712361E2,2.866224302E-1
4.849108824E0,4.403232258E2,2.495820118E-1
4.899109866E0,4.404267505E2,3.294422274E-1
4.949110908E0,4.404002842E2,3.090293464E-1
4.999111949E0,4.403755291E2,2.899341535E-1
5.049112991E0,4.403751578E2,2.896476779E-1
5.100014102E0,4.403945817E2,3.046308411E-1
5.150015144E0,4.404108488E2,3.171778753E-1
5.200016185E0,4.404909384E2,3.789387097E-1
5.250017227E0,4.405106826E2,3.941608987E-1
5.300018269E0,4.404418854E2,3.411143193E-1
5.350019310E0,4.403226112E2,2.491077987E-1
5.400020352E0,4.403817848E2,2.947597503E-1
5.450021394E0,4.404067164E2,3.139906480E-1
5.500022436E0,4.403910965E2,3.019425190E-1
5.550023477E0,4.404206290E2,3.247210723E-1
5.600024519E0,4.402918236E2,2.253506285E-1
5.650025561E0,4.404357001E2,3.363443176E-1
5.700026602E0,4.403670016E2,2.833557632E-1
5.750027644E0,4.403885833E2,3.000039497E-1
5.800683859E0,4.403500892E2,2.703083744E-1
5.850684901E0,4.403157569E2,2.438190172E-1
5.900685942E0,4.404099316E2,3.164705109E-1
5.950686984E0,4.404693673E2,3.623064538E-1
6.000688026E0,4.404216434E2,3.255034428E-1
6.050689067E0,4.404102855E2,3.167434149E-1
6.100690109E0,4.403674745E2,2.837205950E-1
6.150691151E0,4.405003746E2,3.862138886E-1
6.200692193E0,4.405033605E2,3.885158944E-1
6.250693234E0,4.404032827E2,3.113421895E-1
6.300694276E0,4.404237009E2,3.270902698E-1
6.350695318E0,4.402960606E2,2.286202613E-1
6.400696359E0,4.403909539E2,3.018325783E-1
6.450697401E0,4.403793995E2,2.929197809E-1
6.491629709E0,4.403691500E2,2.850131341E-1
6.541630751E0,4.404885699E2,3.771125591E-1
6.591631792E0,4.403857778E2,2.978398818E-1
6.641632834E0,4.404636980E2,3.579349138E-1
6.691633876E0,4.404158767E2,3.210558193E-1
6.741634917E0,4.403789071E2,2.925399136E-1
6.791635959E0,4.404563069E2,3.522354815E-1
6.841637001E0,4.404290782E2,3.312374244E-1
6.891638043E0,4.404529565E2,3.496519118E-1
6.941639084E0,4.404812423E2,3.714627667E-1
6.991640126E0,4.404555402E2,3.516443014E-1
7.041641168E0,4.405344454E2,4.124794868E-1
7.091642209E0,4.403597732E2,2.777794590E-1
7.141643251E0,4.404025403E2,3.107695385E-1
7.099229510E0,4.403951156E2,3.050426366E-1
7.149230552E0,4.404510826E2,3.482068165E-1
7.199231593E0,4.404193185E2,3.237103230E-1
7.249232635E0,4.403560952E2,2.749419454E-1
7.299233677E0,4.403963717E2,3.060115847E-1
7.349234718E0,4.403077217E2,2.376187829E-1
7.399235760E0,4.403362628E2,2.596410356E-1
7.449236802E0,4.404991034E2,3.852338037E-1
7.499237844E0,4.404985375E2,3.847975332E-1
7.549238885E0,4.404260378E2,3.288925876E-1
7.599239927E0,4.404083482E2,3.152491895E-1
7.649240969E0,4.404299978E2,3.319466246E-1
7.802250205E0,4.405420565E2,4.183464516E-1
7.852251247E0,4.403763491E2,2.905666897E-1
7.902252288E0,4.403458955E2,2.670729232E-1
7.952253330E0,4.401543736E2,1.192468380E-1
8.002254372E0,4.398272618E2,-1.335319193E-1
8.052255413E0,4.397072464E2,-2.263693118E-1
8.102256455E0,4.390020909E2,-7.728643869E-1
8.152257497E0,4.384756616E2,-1.181992718E0
8.202258539E0,4.384733484E2,-1.183792712E0
8.252259580E0,4.379815501E2,-1.566899243E0
8.302260622E0,4.383458162E2,-1.283056623E0
8.352261664E0,4.387527306E2,-9.665389412E-1
8.402262705E0,4.384367483E2,-1.212274225E0
8.452263747E0,4.387582296E2,-9.622656041E-1
8.501310170E0,4.385795639E2,-1.101164584E0
8.551311212E0,4.386557709E2,-1.041905571E0
8.601312253E0,4.388418521E2,-8.972942746E-1
8.651313295E0,4.392340023E2,-5.929395938E-1
8.701314337E0,4.394306557E2,-4.405178641E-1
8.751315378E0,4.395006318E2,-3.863139018E-1
8.801316420E0,4.399089218E2,-7.039321233E-2
8.851317462E0,4.401867535E2,1.442483308E-1
8.901318504E0,4.401562315E2,1.206814718E-1
8.951319545E0,4.405812118E2,4.485257450E-1
9.001320587E0,4.409112227E2,7.026714495E-1
9.051321629E0,4.391070038E2,-6.914458364E-1
9.101322670E0,4.409761255E2,7.526091185E-1
9.151323712E0,4.412899851E2,9.938927613E-1
9.202350761E0,4.414058910E2,1.082910169E0
9.252351803E0,4.417206830E2,1.324439284E0
9.302352844E0,4.429167047E2,2.238975361E0
9.352353886E0,4.410987682E2,8.469331687E-1
9.402354928E0,4.413741634E2,1.058547590E0
9.452355969E0,4.412892438E2,9.933233457E-1
9.502357011E0,4.410859436E2,8.370722690E-1
9.552358053E0,4.409422580E2,7.265525455E-1
9.602359095E0,4.411150489E2,8.594506453E-1
9.652360136E0,4.408952146E2,6.903521607E-1
9.702361178E0,4.407607488E2,5.868367552E-1
9.752362220E0,4.405571026E2,4.299440212E-1
9.802363261E0,4.403540335E2,2.733513919E-1
9.852364303E0,4.402440358E2,1.884685879E-1
9.897320934E0,4.401215752E2,9.391854081E-2
9.947321976E0,4.400160306E2,1.238686264E-2
9.997323017E0,4.401104016E2,8.528895249E-2
1.004732406E1,4.397433169E2,-1.984617876E-1
1.009732510E1,4.390376903E2,-7.452327884E-1
1.014732614E1,4.388339187E2,-9.034571726E-1
1.019732718E1,4.385742597E2,-1.105289890E0
1.024732823E1,4.385097740E2,-1.155451666E0
1.029732927E1,4.386167803E2,-1.072222339E0
1.034733031E1,4.388452357E2,-8.946658893E-1
1.039733135E1,4.384107329E2,-1.232521837E0
1.044733239E1,4.387278012E2,-9.859133486E-1
1.049733343E1,4.386132585E2,-1.074960944E0
1.054733448E1,4.388081625E2,-9.234667802E-1
1.059929460E1,4.391189732E2,-6.821593851E-1
1.064929564E1,4.387913992E2,-9.364911936E-1
1.069929668E1,4.393234795E2,-5.235708310E-1
1.074929772E1,4.396141409E2,-2.984255847E-1
1.079929876E1,4.397863257E2,-1.651921883E-1
1.084929981E1,4.401471503E2,1.136690578E-1
1.089930085E1,4.403362889E2,2.596611693E-1
1.094930189E1,4.401810431E2,1.398393669E-1
1.099930293E1,4.407582995E2,5.849506184E-1
1.104930397E1,4.407180999E2,5.539912276E-1
1.109930501E1,4.408909504E2,6.870704471E-1
1.114930606E1,4.409599671E2,7.401778593E-1
1.119930710E1,4.416225860E2,1.249209737E0
1.124930814E1,NaN,NaN
1.129163269E1,4.419763425E2,1.520344827E0
1.134163373E1,4.411206069E2,8.637237742E-1
1.139163477E1,4.412088704E2,9.315677176E-1
1.144163581E1,4.412863928E2,9.911330887E-1
1.149163685E1,4.410883540E2,8.389256742E-1
1.154163790E1,4.409618645E2,7.416376401E-1
1.159163894E1,4.411951926E2,9.210560452E-1
1.164163998E1,4.409471400E2,7.303088528E-1
1.169164102E1,4.407364189E2,5.681001529E-1
1.174164206E1,4.404677054E2,3.610249879E-1
1.179164310E1,4.403505351E2,2.706524086E-1
1.184164415E1,4.402391986E2,1.847348507E-1
1.189164519E1,4.401679487E2,1.297289967E-1
1.194164623E1,4.400318801E2,2.463284952E-2
1.200152297E1,4.400994090E2,7.679869786E-2
1.205152401E1,4.399350697E2,-5.018079173E-2
1.210152505E1,4.392446078E2,-5.847159948E-1
1.215152609E1,4.388137917E2,-9.190933226E-1
1.220152713E1,4.385532520E2,-1.121629650E0
