"Time (s)","Frequency (Hz)","Speed (m/s)"
8.102386220E-1,4.400904246E2,6.985917701E-2
8.602396637E-1,4.401299207E2,1.003636168E-1
9.102407054E-1,4.401107067E2,8.552460226E-2
9.602417471E-1,4.402050325E2,1.583604309E-1
1.010242789E0,4.396481971E2,-2.720652346E-1
1.060243830E0,4.400374984E2,2.897357406E-2
1.110244872E0,4.401683136E2,1.300107420E-1
1.160245914E0,4.399273522E2,-5.614620996E-2
1.210246956E0,4.400411713E2,3.181118335E-2
1.260247997E0,4.400118930E2,9.189812314E-3
1.310249039E0,4.400487104E2,3.763567002E-2
1.360250081E0,4.400857703E2,6.626415755E-2
1.511747598E0,4.398844945E2,-8.927769152E-2
1.561748640E0,4.399259418E2,-5.723641707E-2
1.611749681E0,4.400901993E2,6.968516657E-2
1.661750723E0,4.399947303E2,-4.072091630E-3
1.711751765E0,4.399882345E2,-9.091791404E-3
1.761752806E0,4.400519978E2,4.017539710E-2
1.811753848E0,4.399864290E2,-1.048702699E-2
1.861754890E0,4.399802061E2,-1.529596683E-2
1.911755932E0,4.400721777E2,5.576454703E-2
1.961756973E0,4.399649041E2,-2.712173656E-2
2.011758015E0,4.399332532E2,-5.158486436E-2
2.061759057E0,4.400452206E2,3.493956591E-2
2.111760098E0,4.400213385E2,1.648805667E-2
2.161761140E0,4.400303442E2,2.344617568E-2
2.212685741E0,4.399144973E2,-6.608308799E-2
2.262686783E0,4.399692838E2,-2.373686780E-2
2.312687824E0,4.399361925E2,-4.931293705E-2
2.362688866E0,4.399403364E2,-4.610996533E-2
2.412689908E0,4.399200032E2,-6.182693209E-2
2.462690949E0,4.399733792E2,-2.057189962E-2
2.512691991E0,4.400603189E2,4.660364072E-2
2.562693033E0,4.399369901E2,-4.869645369E-2
2.612694075E0,4.400420344E2,3.247798916E-2
2.662695116E0,4.399745625E2,-1.965738722E-2
2.712696158E0,4.399395599E2,-4.671012286E-2
2.762697200E0,4.401245727E2,9.623347122E-2
2.812698241E0,4.399208889E2,-6.114227381E-2
2.862699283E0,4.399342125E2,-5.084341473E-2
2.908924092E0,4.399199048E2,-6.190301963E-2
2.958925134E0,4.400491744E2,3.799418711E-2
3.008926175E0,4.398050167E2,-1.507356792E-1
3.058927217E0,4.397548326E2,-1.895531334E-1
3.108928259E0,4.399453638E2,-4.222410084E-2
3.158929300E0,4.398223691E2,-1.373157142E-1
3.208930342E0,4.400784073E2,6.057664379E-2
3.258931384E0,4.399715443E2,-2.198990745E-2
3.308932426E0,4.400070981E2,5.484801173E-3
3.358933467E0,4.399395646E2,-4.670647464E-2
3.408934509E0,4.399139534E2,-6.650359006E-2
3.458935551E0,4.399429187E2,-4.411400513E-2
3.508936592E0,4.397958024E2,-1.578623228E-1
3.558937634E0,4.399949107E2,-3.932706248E-3
3.612137235E0,4.400249151E2,1.925147774E-2
