"Time (s)","Frequency (Hz)","Speed (m/s)"
8.087012260E-1,4.399392355E2,-4.696086071E-2
8.587022677E-1,4.399864297E2,-1.048646429E-2
9.087033094E-1,4.399204595E2,-6.147425619E-2
9.587043511E-1,4.397861921E2,-1.652954865E-1
1.008705393E0,4.399193507E2,-6.233135981E-2
1.058706434E0,4.399561188E2,-3.391159737E-2
1.108707476E0,4.399029182E2,-7.503431558E-2
1.158708518E0,4.398849226E2,-8.894671125E-2
1.208709560E0,4.399757240E2,-1.875976369E-2
1.258710601E0,4.399024699E2,-7.538086375E-2
1.308711643E0,4.399539166E2,-3.561365942E-2
1.358712685E0,4.399046731E2,-7.367763226E-2
1.496779889E0,4.399317391E2,-5.275528196E-2
1.546780931E0,4.399442963E2,-4.304920396E-2
1.596781972E0,4.399259436E2,-5.723501484E-2
1.646783014E0,4.399317356E2,-5.275795180E-2
1.696784056E0,4.399247814E2,-5.813338478E-2
1.746785097E0,4.399054144E2,-7.310461596E-2
1.796786139E0,4.399015405E2,-7.609937264E-2
1.846787181E0,4.399627078E2,-2.881914863E-2
1.896788223E0,4.399145401E2,-6.605003036E-2
1.946789264E0,4.399775168E2,-1.737428514E-2
1.996790306E0,4.399138690E2,-6.656880170E-2
2.046791348E0,4.399396124E2,-4.666955035E-2
2.096792389E0,4.399891360E2,-8.395146976E-3
2.146793431E0,4.399622954E2,-2.913790158E-2
2.202510948E0,4.399395738E2,-4.669940016E-2
2.252511990E0,4.399651887E2,-2.690174894E-2
2.302513031E0,4.399509109E2,-3.793673113E-2
2.352514073E0,4.399555965E2,-3.431522485E-2
2.402515115E0,4.399736855E2,-2.033512695E-2
2.452516156E0,4.399941000E2,-4.559147179E-3
2.502517198E0,4.399164178E2,-6.459851084E-2
2.552518240E0,4.400040439E2,3.124838467E-3
2.602519282E0,4.399220791E2,-6.022225558E-2
2.652520323E0,4.399503273E2,-3.838779239E-2
2.702521365E0,4.399648673E2,-2.715016765E-2
2.752522407E0,4.399479422E2,-4.023123057E-2
2.802523448E0,4.399515671E2,-3.742958069E-2
2.852524490E0,4.399546300E2,-3.506225340E-2
2.807364082E0,4.399573236E2,-3.298045307E-2
2.857365124E0,4.399746246E2,-1.960937642E-2
2.907366165E0,4.400187328E2,1.447470868E-2
2.957367207E0,4.399277763E2,-5.581838326E-2
3.007368249E0,4.399677440E2,-2.492691528E-2
