"Time (s)","Frequency (Hz)","Speed (m/s)"
8.085826850E-1,4.401192137E2,9.209474006E-2
8.585837267E-1,4.401440796E2,1.112977943E-1
9.085847684E-1,4.400624557E2,4.825434834E-2
9.585858101E-1,4.399542059E2,-3.539000834E-2
1.008586852E0,4.402976692E2,2.298615773E-1
1.058587893E0,4.402765449E2,2.135595333E-1
1.108588935E0,4.403599649E2,2.779273514E-1
1.158589977E0,4.403083432E2,2.380983447E-1
1.208591019E0,4.402434446E2,1.880122281E-1
1.258592060E0,4.403673015E2,2.835871488E-1
1.308593102E0,4.403263819E2,2.520172636E-1
1.358594144E0,4.402701473E2,2.086221308E-1
1.508140775E0,4.401862284E2,1.438429125E-1
1.558141817E0,4.402708519E2,2.091658650E-1
1.608142858E0,4.403329959E2,2.571203860E-1
1.658143900E0,4.402888360E2,2.230450290E-1
1.708144942E0,4.402644713E2,2.042413897E-1
1.758145983E0,4.402301695E2,1.777652917E-1
1.808147025E0,4.402831929E2,2.186901057E-1
1.858148067E0,4.401900792E2,1.468159921E-1
1.908149109E0,4.401624689E2,1.254977848E-1
1.958150150E0,4.401943462E2,1.501103107E-1
2.008151192E0,4.401678914E2,1.296847465E-1
2.058152234E0,4.402182196E2,1.685406506E-1
2.108153275E0,4.401738220E2,1.342639768E-1
2.158154317E0,4.401245355E2,9.620476374E-2
2.196198708E0,4.402219066E2,1.713868780E-1
2.246199750E0,4.402810574E2,2.170420607E-1
2.296200791E0,4.402017372E2,1.558163936E-1
2.346201833E0,4.401543361E2,1.192178773E-1
2.396202875E0,4.401459289E2,1.127258420E-1
2.446203916E0,4.401736030E2,1.340948866E-1
2.496204958E0,4.402120678E2,1.637916098E-1
2.546206000E0,4.401760169E2,1.359586483E-1
2.596207042E0,4.401924121E2,1.486170557E-1
2.646208083E0,4.400844607E2,6.525256603E-2
2.696209125E0,4.401701090E2,1.313970770E-1
2.746210167E0,4.400745758E2,5.761700723E-2
2.796211208E0,4.400323399E2,2.498806602E-2
2.846212250E0,4.400574945E2,4.442172526E-2
2.815148249E0,4.401526595E2,1.179232799E-1
2.865149291E0,4.401617718E2,1.249595132E-1
2.915150332E0,4.402361266E2,1.823636262E-1
2.965151374E0,4.401046826E2,8.087187531E-2
3.015152416E0,4.401173073E2,9.062236998E-2
3.065153457E0,4.401353773E2,1.045775312E-1
3.115154499E0,4.401491979E2,1.152502332E-1
3.165155541E0,4.401063483E2,8.215837140E-2
3.215156583E0,4.401573606E2,1.215533276E-1
3.265157624E0,4.401783004E2,1.377218105E-1
3.315158666E0,4.401059345E2,8.183875669E-2
3.365159708E0,4.399504361E2,-3.830369115E-2
3.503168734E0,4.401650607E2,1.274990375E-1
3.553169776E0,4.401047241E2,8.090394544E-2
3.603170817E0,4.401811427E2,1.399162928E-1
3.653171859E0,4.401057553E2,8.170036516E-2
3.703172901E0,4.401477882E2,1.141616163E-1
3.753173942E0,4.401570863E2,1.213415279E-1
3.803174984E0,4.400427467E2,3.302830942E-2
3.853176026E0,4.400692068E2,5.346957164E-2
3.903177068E0,4.400699080E2,5.401126006E-2
3.953178109E0,4.402102086E2,1.623563394E-1
4.003179151E0,4.401048344E2,8.098911020E-2
4.053180193E0,4.400563879E2,4.356688625E-2
4.103181234E0,4.400939053E2,7.254768336E-2
4.153182276E0,4.401288426E2,9.953105845E-2
4.108317857E0,4.401272841E2,9.832745778E-2
4.158318899E0,4.399937218E2,-4.851401297E-3
4.208319940E0,4.401732714E2,1.338388651E-1
4.258320982E0,4.401357848E2,1.048922635E-1
4.308322024E0,4.400971837E2,7.507994580E-2
4.358323065E0,4.400116592E2,9.009153820E-3
4.408324107E0,4.400776077E2,5.995900679E-2
4.458325149E0,4.400812812E2,6.279659671E-2
4.508326191E0,4.400760720E2,5.877273917E-2
4.558327232E0,4.399591257E2,-3.158764948E-2
4.608328274E0,4.399123017E2,-6.778041591E-2
4.658329316E0,4.399443880E2,-4.297831019E-2
4.705992917E0,4.401141194E2,8.816028602E-2
4.755993959E0,4.399689217E2,-2.401676851E-2
4.805995000E0,4.400433292E2,3.347839242E-2
4.855996042E0,4.399638834E2,-2.791055177E-2
4.905997084E0,4.400185823E2,1.435846855E-2
4.955998125E0,4.399702106E2,-2.302060703E-2
5.005999167E0,4.398361746E2,-1.266394698E-1
5.056000209E0,4.399440695E2,-4.322451865E-2
5.106001251E0,4.400346052E2,2.673824759E-2
5.156002292E0,4.400577306E2,4.460416207E-2
5.206003334E0,4.399956600E2,-3.353674316E-3
5.256004376E0,4.400331083E2,2.558174471E-2
5.310013914E0,4.400384613E2,2.971747937E-2
5.360014956E0,4.399291980E2,-5.471945509E-2
5.410015997E0,4.400750836E2,5.800923306E-2
5.460017039E0,4.399789135E2,-1.629489437E-2
5.510018081E0,4.399412506E2,-4.540336414E-2
5.560019122E0,4.398866356E2,-8.762232680E-2
5.610020164E0,4.399353645E2,-4.995295764E-2
5.660021206E0,4.399996319E2,-2.844413408E-4
5.710022248E0,4.398225165E2,-1.372016723E-1
5.760023289E0,4.399975322E2,-1.906962047E-3
5.810024331E0,4.398461996E2,-1.188873270E-1
5.860025373E0,4.399575929E2,-3.277230017E-2
5.907779338E0,4.399009031E2,-7.659215711E-2
5.957780380E0,4.398849345E2,-8.893751066E-2
6.007781421E0,4.399211252E2,-6.095962825E-2
6.057782463E0,4.398195785E2,-1.394738349E-1
6.107783505E0,4.397305692E2,-2.083240745E-1
6.157784546E0,4.399301650E2,-5.397195675E-2
6.207785588E0,4.397717710E2,-1.764502799E-1
6.257786630E0,4.399520688E2,-3.704175968E-2
6.307787672E0,4.398255741E2,-1.348371088E-1
6.357788713E0,4.398606563E2,-1.077088237E-1
6.407789755E0,4.398887050E2,-8.602243052E-2
6.457790797E0,4.397700585E2,-1.777750014E-1
6.508023617E0,4.399990406E2,-7.413306169E-4
6.558024659E0,4.399101624E2,-6.943412035E-2
6.608025700E0,4.398170811E2,-1.414051955E-1
6.658026742E0,4.399080472E2,-7.106928129E-2
6.708027784E0,4.399301579E2,-5.397748880E-2
6.758028825E0,4.398392650E2,-1.242496960E-1
6.808029867E0,4.395915064E2,-3.159474383E-1
6.858030909E0,4.395353874E2,-3.593983091E-1
6.908031951E0,4.397072744E2,-2.263476319E-1
6.958032992E0,4.399354660E2,-4.987447609E-2
7.008034034E0,4.398560536E2,-1.112677077E-1
7.058035076E0,4.394801695E2,-4.021623422E-1
7.109393260E0,4.399337060E2,-5.123486845E-2
7.159394302E0,4.388342450E2,-9.032036536E-1
7.209395343E0,4.389565397E2,-8.082269208E-1
7.259396385E0,4.388749062E2,-8.716193936E-1
7.309397427E0,4.382938352E2,-1.323532241E0
7.359398468E0,4.393920980E2,-4.703923355E-1
7.409399510E0,4.389163174E2,-8.394585979E-1
7.459400552E0,4.391311859E2,-6.726846408E-1
7.509401594E0,4.403737333E2,2.885488379E-1
7.559402635E0,4.391623346E2,-6.485215291E-1
7.609403677E0,4.395063622E2,-3.818758338E-1
7.659404719E0,4.399520362E2,-3.706696622E-2
7.706195924E0,4.397932768E2,-1.598157313E-1
7.756196966E0,4.400004011E2,3.099394052E-4
7.806198007E0,4.391444863E2,-6.623666483E-1
7.856199049E0,4.388000506E2,-9.297692444E-1
7.906200091E0,4.404818893E2,3.719615940E-1
7.956201132E0,4.409323827E2,7.189540553E-1
8.006202174E0,4.410152594E2,7.827126176E-1
8.056203216E0,4.409963008E2,7.681295092E-1
8.106204258E0,4.411263000E2,8.681006097E-1
8.156205299E0,4.379080322E2,-1.624242985E0
8.206206341E0,4.409253557E2,7.135469100E-1
8.256207383E0,4.407852923E2,6.057356585E-1
8.309054317E0,4.414168636E2,1.091334921E0
8.359055359E0,4.413069705E2,1.006940713E0
8.409056400E0,4.411527971E2,8.884699723E-1
8.459057442E0,4.410019170E2,7.724496527E-1
8.509058484E0,4.408950535E2,6.902281429E-1
8.559059525E0,4.407665597E2,5.913114125E-1
8.609060567E0,4.404104415E2,3.168637713E-1
8.659061609E0,4.401011075E2,7.811059118E-2
8.709062651E0,4.399209547E2,-6.109143910E-2
8.759063692E0,4.398029356E2,-1.523452977E-1
8.809064734E0,4.395338527E2,-3.605867534E-1
8.859065776E0,4.394237583E2,-4.458615763E-1
9.001415220E0,4.394816672E2,-4.010022524E-1
9.051416262E0,4.397045075E2,-2.284885880E-1
9.101417303E0,4.400139099E2,1.074819160E-2
9.151418345E0,4.396551394E2,-2.666922103E-1
9.201419387E0,4.390037517E2,-7.715752219E-1
9.251420428E0,4.388819020E2,-8.661858815E-1
9.301421470E0,4.387208482E2,-9.913173804E-1
9.351422512E0,4.392458654E2,-5.837408666E-1
9.401423554E0,4.389283081E2,-8.301475550E-1
9.451424595E0,4.390265990E2,-7.538411927E-1
9.501425637E0,4.392381844E2,-5.896966648E-1
9.551426679E0,4.394798417E2,-4.024162681E-1
9.601427720E0,4.392637775E2,-5.698526687E-1
9.651428762E0,4.394278150E2,-4.427186773E-1
9.607215592E0,4.394466299E2,-4.281426479E-1
9.657216634E0,4.397134871E2,-2.215406263E-1
9.707217675E0,4.398787327E2,-9.373242155E-2
9.757218717E0,4.401303616E2,1.007041194E-1
9.807219759E0,4.403270921E2,2.525652299E-1
9.857220800E0,4.404164859E2,3.215256813E-1
9.907221842E0,4.407909046E2,6.100569623E-1
9.957222884E0,4.408321773E2,6.418321785E-1
1.000722393E1,4.408745530E2,6.744504209E-1
1.005722497E1,4.408823696E2,6.804664748E-1
1.010722601E1,4.408970338E2,6.917522151E-1
1.015722705E1,4.412701924E2,9.786870457E-1
1.020663331E1,4.403424822E2,2.644395221E-1
1.025663435E1,4.410099463E2,7.786258484E-1
1.030663539E1,4.414945682E2,1.150983981E0
1.035663643E1,4.414606699E2,1.124964920E0
1.040663747E1,4.410930358E2,8.425256170E-1
1.045663852E1,4.408340378E2,6.432644365E-1
1.050663956E1,4.407223645E2,5.572758126E-1
1.055664060E1,4.405441077E2,4.199275494E-1
1.060664164E1,4.402844028E2,2.196238734E-1
1.065664268E1,4.400825329E2,6.376347039E-2
1.070664372E1,4.399650295E2,-2.702481744E-2
1.075664477E1,4.396889321E2,-2.405407298E-1
1.081093155E1,4.395767991E2,-3.273337300E-1
1.086093259E1,4.393927311E2,-4.699017926E-1
1.091093363E1,4.394429705E2,-4.309775217E-1
1.096093467E1,4.396480628E2,-2.721691784E-1
1.101093571E1,4.400249158E2,1.925199843E-2
1.106093675E1,4.397663025E2,-1.806804058E-1
1.111093780E1,4.390737222E2,-7.172701367E-1
1.116093884E1,4.385910339E2,-1.092244112E0
1.121093988E1,4.388664781E2,-8.781655793E-1
1.126094092E1,4.387261532E2,-9.871942281E-1
