"Time (s)","Frequency (Hz)","Speed (m/s)"
8.127105500E-1,4.400288002E2,2.225320609E-2
8.627115917E-1,4.400104439E2,8.070128532E-3
9.127126334E-1,4.399945767E2,-4.190811570E-3
9.627136751E-1,4.401395892E2,1.078301960E-1
1.012714717E0,4.398596392E2,-1.084951989E-1
1.062715758E0,4.400566398E2,4.376146129E-2
1.112716800E0,4.401126551E2,8.702940308E-2
1.162717842E0,4.401100554E2,8.502155612E-2
1.212718884E0,4.400790648E2,6.108457216E-2
1.262719925E0,4.400944931E2,7.300168040E-2
1.312720967E0,4.402474154E2,1.910772162E-1
1.362722009E0,4.401416688E2,1.094360861E-1
1.510722859E0,4.402355879E2,1.819477373E-1
1.560723901E0,4.402276275E2,1.758030286E-1
1.610724942E0,4.402333768E2,1.802410561E-1
1.660725984E0,4.403513190E2,2.712571533E-1
1.710727026E0,4.402513358E2,1.941031694E-1
1.760728067E0,4.401268096E2,9.796102273E-2
1.810729109E0,4.398991384E2,-7.795639318E-2
1.860730151E0,4.401501269E2,1.159675552E-1
1.910731193E0,4.401311683E2,1.013271240E-1
1.960732234E0,4.400985200E2,7.611205878E-2
2.010733276E0,4.400944633E2,7.297866839E-2
2.060734318E0,4.402397767E2,1.851810651E-1
2.110735359E0,4.401757403E2,1.357451058E-1
2.160736401E0,4.401487012E2,1.148666693E-1
2.211846523E0,4.399251496E2,-5.784875066E-2
2.261847565E0,4.400579638E2,4.478427542E-2
2.311848606E0,4.400837803E2,6.472696869E-2
2.361849648E0,4.400644981E2,4.983214447E-2
2.411850690E0,4.399881385E2,-9.165930024E-3
2.461851731E0,4.400623524E2,4.817457402E-2
2.511852773E0,4.399518681E2,-3.719690777E-2
2.561853815E0,4.400437721E2,3.382049449E-2
2.611854857E0,4.399411066E2,-4.551465151E-2
2.661855898E0,4.399539954E2,-3.555269299E-2
2.711856940E0,4.399684882E2,-2.435176494E-2
2.761857982E0,4.400200275E2,1.547508487E-2
2.811859023E0,4.398208699E2,-1.384750995E-1
2.861860065E0,4.399406744E2,-4.584866472E-2
2.904800029E0,4.398455839E2,-1.193634381E-1
2.954801071E0,4.400580417E2,4.484446944E-2
3.004802112E0,4.399985331E2,-1.133503934E-3
3.054803154E0,4.400281763E2,2.177123501E-2
3.104804196E0,4.400658873E2,5.090525778E-2
3.154805237E0,4.400933918E2,7.215108808E-2
3.204806279E0,4.400380758E2,2.941967987E-2
3.254807321E0,4.400302992E2,2.341141726E-2
3.304808363E0,4.400444914E2,3.437625740E-2
3.354809404E0,4.400977041E2,7.548183662E-2
3.404810446E0,4.400106225E2,8.208106880E-3
3.454811488E0,4.399945049E2,-4.246277580E-3
3.504812529E0,4.401514926E2,1.170221394E-1
3.554813571E0,4.400029316E2,2.265317541E-3
3.509896391E0,4.399517080E2,-3.732061753E-2
3.559897433E0,4.400835272E2,6.453149436E-2
3.609898474E0,4.400865011E2,6.682861102E-2
3.659899516E0,4.399865909E2,-1.036191720E-2
3.709900558E0,4.400632468E2,4.886551657E-2
3.759901599E0,4.400380362E2,2.938907576E-2
3.809902641E0,4.400081784E2,6.319525432E-3
3.859903683E0,4.399830295E2,-1.311404223E-2
3.909904725E0,4.399269735E2,-5.643892503E-2
3.959905766E0,4.399866874E2,-1.028729597E-2
4.009906808E0,4.400643478E2,4.971605784E-2
4.059907850E0,4.399906940E2,-7.191126914E-3
4.208766930E0,4.401489204E2,1.150359025E-1
4.258767972E0,4.399691790E2,-2.381786021E-2
4.308769013E0,4.399783828E2,-1.670505418E-2
4.358770055E0,4.399684777E2,-2.435986441E-2
4.408771097E0,4.399896732E2,-7.979969917E-3
4.458772138E0,4.399634344E2,-2.825754991E-2
4.508773180E0,4.399068799E2,-7.197170768E-2
4.558774222E0,4.399426090E2,-4.435338165E-2
4.608775264E0,4.398452361E2,-1.196323678E-1
4.658776305E0,4.399859310E2,-1.087186984E-2
4.708777347E0,4.399829658E2,-1.316332609E-2
4.758778389E0,4.398857747E2,-8.828792877E-2
4.808779430E0,4.399311704E2,-5.319480654E-2
4.858780472E0,4.400301999E2,2.333470592E-2
4.905394499E0,4.399705012E2,-2.279604009E-2
4.955395541E0,4.399611001E2,-3.006163753E-2
5.005396582E0,4.398872374E2,-8.715705701E-2
5.055397624E0,4.398655892E2,-1.038946325E-1
5.105398666E0,4.397762949E2,-1.729509986E-1
5.155399707E0,4.398951427E2,-8.104539568E-2
5.205400749E0,4.399057033E2,-7.288128455E-2
5.255401791E0,4.398670688E2,-1.027506227E-1
5.305402833E0,4.399339711E2,-5.102996941E-2
5.355403874E0,4.399082424E2,-7.091839316E-2
5.405404916E0,4.399170597E2,-6.410233480E-2
5.455405958E0,4.399986964E2,-1.007327368E-3
5.505406999E0,4.399421193E2,-4.473186833E-2
5.555408041E0,4.398503556E2,-1.156736780E-1
5.615582955E0,4.399752108E2,-1.915634682E-2
5.665583997E0,4.399219752E2,-6.030260907E-2
5.715585038E0,4.399243764E2,-5.844645948E-2
5.765586080E0,4.398983626E2,-7.855611188E-2
5.815587122E0,4.398811624E2,-9.185387382E-2
5.865588163E0,4.399084660E2,-7.074554001E-2
5.915589205E0,4.399780627E2,-1.695238674E-2
5.965590247E0,4.399855101E2,-1.119714533E-2
6.015591289E0,4.399491561E2,-3.929301187E-2
6.065592330E0,4.399133747E2,-6.695088486E-2
6.115593372E0,4.399782990E2,-1.676981682E-2
6.165594414E0,4.399066423E2,-7.215538613E-2
6.215595455E0,4.400097568E2,7.539210389E-3
6.265596497E0,4.400379306E2,2.930748864E-2
6.308884743E0,4.400593339E2,4.584272937E-2
6.358885785E0,4.400246858E2,1.907429135E-2
6.408886826E0,4.399582917E2,-3.223217643E-2
