Product,First Reactant Ion,Second Reactant Ion,First Reactant,Second Reactant,Soluble?
K2SO4,K2,SO4,K2SO4,(Na2SO4)(10H2O),TRUE
(Na2SO4)(10H2O),Na2,SO4,(Na2SO4)(10H2O),K2SO4,TRUE
2KNO3,2K,NO3,K2SO4,Sr(NO3)2,TRUE
SrSO4,Sr,SO4,Sr(NO3)2,K2SO4,FALSE
2KCl,2K,Cl,K2SO4,BaCl2,TRUE
BaSO4,Ba,SO4,BaCl2,K2SO4,FALSE
6KCl,6K,Cl,K2SO4,AlCl3,TRUE
Al2(SO4)3,Al2,(SO4)3,AlCl3,K2SO4,TRUE
Al2(SO4)3,Al2,(SO4)3,AlCl3,(Na2SO4)(10H2O),TRUE
6NaCl,6Na,Cl,(Na2SO4)(10H2O),2AlCl3,TRUE
2Al(NO3)3,2Al,(NO3)3,AlCl3,Sr(NO3)2,TRUE
3SrCl2,3Sr,Cl2,Sr(NO3)2,AlCl3,TRUE
2AlCl3,2Al,Cl3,AlCl3,BaCl2,TRUE
3BaCl2,3Ba,Cl2,BaCl2,AlCl3,TRUE
BaSO4,Ba,SO4,BaCl2,(Na2SO4)(10H2O),FALSE
2NaCl,2Na,Cl,(Na2SO4)(10H2O),BaCl2,TRUE
Ba(NO3)2,Ba,(NO3)2,BaCl2,Sr(NO3)2,TRUE
SrCl2,Sr,Cl2,Sr(NO3)2,BaCl2,TRUE
SrSO4,Sr,SO4,Sr(NO3)2,(Na2SO4)(10H2O),FALSE
2NaNO3,2Na,NO3,(Na2SO4)(10H2O),Sr(NO3)2,TRUE
