Stock solutions,Mass,Volume
(Na2SO4)(10H2O),1.16,29.75
Sr(NO3)2,0.91,30
Ba(NO3)2,0.80,30.53
AlCl3,0.86,30.54
K_2SO4,1.11,30.6
